y,x,val
0.0000,0.0000,1517.5318
0.0000,500.0000,1515.8546
0.0000,1000.0000,1513.8970
0.0000,1500.0000,1511.4473
0.0000,2000.0000,1509.5590
0.0000,2500.0000,1507.1436
0.0000,3000.0000,1505.3204
0.0000,3500.0000,1503.2175
0.0000,4000.0000,1501.6293
0.0000,4500.0000,1499.7177
0.0000,5000.0000,1499.7177
333.3333,0.0000,1517.8415
333.3333,500.0000,1516.0270
333.3333,1000.0000,1513.9523
333.3333,1500.0000,1511.5020
333.3333,2000.0000,1509.7674
333.3333,2500.0000,1507.2452
333.3333,3000.0000,1505.6544
333.3333,3500.0000,1503.4565
333.3333,4000.0000,1501.7886
333.3333,4500.0000,1499.6107
333.3333,5000.0000,1499.6107
666.6667,0.0000,1518.2403
666.6667,500.0000,1516.4328
666.6667,1000.0000,1514.0091
666.6667,1500.0000,1511.8527
666.6667,2000.0000,1509.8545
666.6667,2500.0000,1507.8125
666.6667,3000.0000,1506.0841
666.6667,3500.0000,1504.0286
666.6667,4000.0000,1501.9249
666.6667,4500.0000,1499.8139
666.6667,5000.0000,1499.8139
1000.0000,0.0000,1518.7723
1000.0000,500.0000,1516.6798
1000.0000,1000.0000,1514.2693
1000.0000,1500.0000,1512.5812
1000.0000,2000.0000,1510.3066
1000.0000,2500.0000,1508.5358
1000.0000,3000.0000,1506.3477
1000.0000,3500.0000,1504.5894
1000.0000,4000.0000,1502.3926
1000.0000,4500.0000,1500.3068
1000.0000,5000.0000,1500.3068
1333.3333,0.0000,1519.4448
1333.3333,500.0000,1517.2805
1333.3333,1000.0000,1514.7159
1333.3333,1500.0000,1513.1844
1333.3333,2000.0000,1511.0555
1333.3333,2500.0000,1509.2823
1333.3333,3000.0000,1506.6143
1333.3333,3500.0000,1505.2108
1333.3333,4000.0000,1503.0900
1333.3333,4500.0000,1501.0506
1333.3333,5000.0000,1501.0506
1666.6667,0.0000,1520.1830
1666.6667,500.0000,1518.0310
1666.6667,1000.0000,1515.2852
1666.6667,1500.0000,1513.8052
1666.6667,2000.0000,1511.8428
1666.6667,2500.0000,1510.1577
1666.6667,3000.0000,1507.2200
1666.6667,3500.0000,1505.8810
1666.6667,4000.0000,1503.8801
1666.6667,4500.0000,1501.9364
1666.6667,5000.0000,1501.9364
2000.0000,0.0000,1520.8202
2000.0000,500.0000,1518.8548
2000.0000,1000.0000,1516.3008
2000.0000,1500.0000,1514.5396
2000.0000,2000.0000,1512.5857
2000.0000,2500.0000,1510.8218
2000.0000,3000.0000,1508.4075
2000.0000,3500.0000,1506.6263
2000.0000,4000.0000,1504.6784
2000.0000,4500.0000,1502.8906
2000.0000,5000.0000,1502.8906
2333.3333,0.0000,1521.1916
2333.3333,500.0000,1519.3608
2333.3333,1000.0000,1517.3889
2333.3333,1500.0000,1515.6152
2333.3333,2000.0000,1513.6889
2333.3333,2500.0000,1511.4962
2333.3333,3000.0000,1509.7008
2333.3333,3500.0000,1507.5690
2333.3333,4000.0000,1505.4911
2333.3333,4500.0000,1503.9816
2333.3333,5000.0000,1503.9816
2666.6667,0.0000,1521.7841
2666.6667,500.0000,1520.0973
2666.6667,1000.0000,1518.3813
2666.6667,1500.0000,1516.7051
2666.6667,2000.0000,1514.6821
2666.6667,2500.0000,1512.4525
2666.6667,3000.0000,1510.8566
2666.6667,3500.0000,1508.4492
2666.6667,4000.0000,1506.3360
2666.6667,4500.0000,1505.1325
2666.6667,5000.0000,1505.1325
3000.0000,0.0000,1522.8412
3000.0000,500.0000,1521.2852
3000.0000,1000.0000,1519.2386
3000.0000,1500.0000,1517.4133
3000.0000,2000.0000,1515.5891
3000.0000,2500.0000,1513.6043
3000.0000,3000.0000,1511.5258
3000.0000,3500.0000,1509.2589
3000.0000,4000.0000,1507.2815
3000.0000,4500.0000,1506.2718
3000.0000,5000.0000,1506.2718
3333.3333,0.0000,1523.9475
3333.3333,500.0000,1522.3533
3333.3333,1000.0000,1520.3030
3333.3333,1500.0000,1518.1031
3333.3333,2000.0000,1516.3479
3333.3333,2500.0000,1514.3796
3333.3333,3000.0000,1512.2081
3333.3333,3500.0000,1510.0792
3333.3333,4000.0000,1508.2984
3333.3333,4500.0000,1507.3889
3333.3333,5000.0000,1507.3889
3666.6667,0.0000,1524.9079
3666.6667,500.0000,1523.3801
3666.6667,1000.0000,1521.2665
3666.6667,1500.0000,1518.8784
3666.6667,2000.0000,1517.0444
3666.6667,2500.0000,1515.0774
3666.6667,3000.0000,1512.9055
3666.6667,3500.0000,1510.7279
3666.6667,4000.0000,1509.2461
3666.6667,4500.0000,1508.4184
3666.6667,5000.0000,1508.4184
4000.0000,0.0000,1525.6989
4000.0000,500.0000,1524.4233
4000.0000,1000.0000,1522.1987
4000.0000,1500.0000,1519.6822
4000.0000,2000.0000,1517.5735
4000.0000,2500.0000,1515.5857
4000.0000,3000.0000,1513.4200
4000.0000,3500.0000,1511.3769
4000.0000,4000.0000,1509.8951
4000.0000,4500.0000,1509.1225
