y,x,val
0.0000,0.0000,13.5525
0.0000,500.0000,14.0008
0.0000,1000.0000,14.0052
0.0000,1500.0000,13.8153
0.0000,2000.0000,13.6210
0.0000,2500.0000,13.6502
0.0000,3000.0000,13.3112
0.0000,3500.0000,13.6440
0.0000,4000.0000,13.5604
0.0000,4500.0000,13.9833
0.0000,5000.0000,13.9833
333.3333,0.0000,9.2650
333.3333,500.0000,9.5115
333.3333,1000.0000,9.4311
333.3333,1500.0000,9.3132
333.3333,2000.0000,9.1138
333.3333,2500.0000,9.2176
333.3333,3000.0000,8.9653
333.3333,3500.0000,9.1564
333.3333,4000.0000,9.1302
333.3333,4500.0000,9.3107
333.3333,5000.0000,9.3107
666.6667,0.0000,5.4762
666.6667,500.0000,5.5525
666.6667,1000.0000,5.2910
666.6667,1500.0000,5.3745
666.6667,2000.0000,5.2224
666.6667,2500.0000,5.0324
666.6667,3000.0000,5.5306
666.6667,3500.0000,5.0150
666.6667,4000.0000,5.2125
666.6667,4500.0000,5.1875
666.6667,5000.0000,5.1875
1000.0000,0.0000,2.1186
1000.0000,500.0000,2.0450
1000.0000,1000.0000,1.8293
1000.0000,1500.0000,1.8686
1000.0000,2000.0000,1.8443
1000.0000,2500.0000,1.6956
1000.0000,3000.0000,1.9777
1000.0000,3500.0000,1.8575
1000.0000,4000.0000,1.8281
1000.0000,4500.0000,1.6674
1000.0000,5000.0000,1.6674
1333.3333,0.0000,0.7809
1333.3333,500.0000,0.9148
1333.3333,1000.0000,1.0259
1333.3333,1500.0000,1.1186
1333.3333,2000.0000,1.0833
1333.3333,2500.0000,0.6420
1333.3333,3000.0000,1.0190
1333.3333,3500.0000,0.9677
1333.3333,4000.0000,1.0462
1333.3333,4500.0000,1.2410
1333.3333,5000.0000,1.2410
1666.6667,0.0000,3.1004
1666.6667,500.0000,3.2407
1666.6667,1000.0000,3.3358
1666.6667,1500.0000,3.2246
1666.6667,2000.0000,3.2535
1666.6667,2500.0000,3.1530
1666.6667,3000.0000,3.1311
1666.6667,3500.0000,3.2433
1666.6667,4000.0000,3.3425
1666.6667,4500.0000,3.4789
1666.6667,5000.0000,3.4789
2000.0000,0.0000,4.7768
2000.0000,500.0000,4.8874
2000.0000,1000.0000,5.1086
2000.0000,1500.0000,4.9091
2000.0000,2000.0000,4.6075
2000.0000,2500.0000,4.8724
2000.0000,3000.0000,4.7787
2000.0000,3500.0000,4.9879
2000.0000,4000.0000,4.9942
2000.0000,4500.0000,4.9353
2000.0000,5000.0000,4.9353
2333.3333,0.0000,5.7973
2333.3333,500.0000,5.8008
2333.3333,1000.0000,6.0463
2333.3333,1500.0000,5.9478
2333.3333,2000.0000,5.8180
2333.3333,2500.0000,5.9017
2333.3333,3000.0000,5.7784
2333.3333,3500.0000,5.9247
2333.3333,4000.0000,5.8971
2333.3333,4500.0000,5.4947
2333.3333,5000.0000,5.4947
2666.6667,0.0000,6.0959
2666.6667,500.0000,5.9807
2666.6667,1000.0000,6.2193
2666.6667,1500.0000,6.1453
2666.6667,2000.0000,6.2171
2666.6667,2500.0000,6.3010
2666.6667,3000.0000,6.0842
2666.6667,3500.0000,6.1284
2666.6667,4000.0000,6.0608
2666.6667,4500.0000,5.3118
2666.6667,5000.0000,5.3118
3000.0000,0.0000,5.5650
3000.0000,500.0000,5.3401
3000.0000,1000.0000,5.4778
3000.0000,1500.0000,5.6665
3000.0000,2000.0000,5.6316
3000.0000,2500.0000,5.6467
3000.0000,3000.0000,5.5651
3000.0000,3500.0000,5.6440
3000.0000,4000.0000,5.4848
