y,x,val
0.0000,0.0000,1529.0839
0.0000,300.0000,1529.7948
0.0000,600.0000,1530.9376
0.0000,900.0000,1532.2986
0.0000,1200.0000,1533.6728
0.0000,1500.0000,1534.9323
0.0000,1800.0000,1535.9811
0.0000,2100.0000,1536.6998
0.0000,2400.0000,1537.0661
0.0000,2700.0000,1537.0045
0.0000,3000.0000,1537.0045
83.3333,0.0000,1528.2153
83.3333,300.0000,1528.9468
83.3333,600.0000,1530.1683
83.3333,900.0000,1531.5996
83.3333,1200.0000,1533.0123
83.3333,1500.0000,1534.3125
83.3333,1800.0000,1535.4393
83.3333,2100.0000,1536.1910
83.3333,2400.0000,1536.6212
83.3333,2700.0000,1536.5514
83.3333,3000.0000,1536.5514
166.6667,0.0000,1526.3230
166.6667,300.0000,1527.0018
166.6667,600.0000,1528.2098
166.6667,900.0000,1529.6199
166.6667,1200.0000,1531.0251
166.6667,1500.0000,1532.3680
166.6667,1800.0000,1533.6334
166.6667,2100.0000,1534.5167
166.6667,2400.0000,1535.1207
166.6667,2700.0000,1535.1416
166.6667,3000.0000,1535.1416
250.0000,0.0000,1523.5738
250.0000,300.0000,1524.1778
250.0000,600.0000,1525.3345
250.0000,900.0000,1526.7047
250.0000,1200.0000,1528.1006
250.0000,1500.0000,1529.4921
250.0000,1800.0000,1530.8812
250.0000,2100.0000,1531.9159
250.0000,2400.0000,1532.6878
250.0000,2700.0000,1532.8214
250.0000,3000.0000,1532.8214
333.3333,0.0000,1520.1727
333.3333,300.0000,1520.7001
333.3333,600.0000,1521.8017
333.3333,900.0000,1523.1367
333.3333,1200.0000,1524.5281
333.3333,1500.0000,1525.9605
333.3333,1800.0000,1527.4412
333.3333,2100.0000,1528.5980
333.3333,2400.0000,1529.5016
333.3333,2700.0000,1529.7393
333.3333,3000.0000,1529.7393
416.6667,0.0000,1516.3285
416.6667,300.0000,1516.7879
416.6667,600.0000,1517.8458
416.6667,900.0000,1519.1575
416.6667,1200.0000,1520.5466
416.6667,1500.0000,1522.0025
416.6667,1800.0000,1523.5342
416.6667,2100.0000,1524.7651
416.6667,2400.0000,1525.7550
416.6667,2700.0000,1526.0774
416.6667,3000.0000,1526.0774
500.0000,0.0000,1512.2384
500.0000,300.0000,1512.6440
500.0000,600.0000,1513.6783
500.0000,900.0000,1514.9820
500.0000,1200.0000,1516.3687
500.0000,1500.0000,1517.8243
500.0000,1800.0000,1519.3610
500.0000,2100.0000,1520.6105
500.0000,2400.0000,1521.6376
500.0000,2700.0000,1522.0214
500.0000,3000.0000,1522.0214
583.3333,0.0000,1508.0811
583.3333,300.0000,1508.4524
583.3333,600.0000,1509.4908
583.3333,900.0000,1510.8067
583.3333,1200.0000,1512.1904
583.3333,1500.0000,1513.6182
583.3333,1800.0000,1515.1084
583.3333,2100.0000,1516.3153
583.3333,2400.0000,1517.3272
583.3333,2700.0000,1517.7477
583.3333,3000.0000,1517.7477
666.6667,0.0000,1504.0148
666.6667,300.0000,1504.3778
666.6667,600.0000,1505.4572
666.6667,900.0000,1506.8114
666.6667,1200.0000,1508.1932
666.6667,1500.0000,1509.5633
666.6667,1800.0000,1510.9498
666.6667,2100.0000,1512.0479
666.6667,2400.0000,1512.9865
666.6667,2700.0000,1513.4194
666.6667,3000.0000,1513.4194
750.0000,0.0000,1500.1814
750.0000,300.0000,1500.5694
750.0000,600.0000,1501.7339
750.0000,900.0000,1503.1548
750.0000,1200.0000,1504.5375
750.0000,1500.0000,1505.8208
750.0000,1800.0000,1507.0421
750.0000,2100.0000,1507.9646
750.0000,2400.0000,1508.7652
750.0000,2700.0000,1509.1911
750.0000,3000.0000,1509.1911
833.3333,0.0000,1496.7208
833.3333,300.0000,1497.1717
833.3333,600.0000,1498.4528
833.3333,900.0000,1499.9564
833.3333,1200.0000,1501.3408
833.3333,1500.0000,1502.5172
833.3333,1800.0000,1503.5170
833.3333,2100.0000,1504.2180
833.3333,2400.0000,1504.8129
833.3333,2700.0000,1505.2204
833.3333,3000.0000,1505.2204
916.6667,0.0000,1493.8180
916.6667,300.0000,1494.3437
916.6667,600.0000,1495.6924
916.6667,900.0000,1497.2482
916.6667,1200.0000,1498.6290
916.6667,1500.0000,1499.6998
916.6667,1800.0000,1500.4667
916.6667,2100.0000,1500.9639
916.6667,2400.0000,1501.3423
916.6667,2700.0000,1501.6822
916.6667,3000.0000,1501.6822
1000.0000,0.0000,1491.4828
1000.0000,300.0000,1492.0519
1000.0000,600.0000,1493.4442
1000.0000,900.0000,1495.0227
1000.0000,1200.0000,1496.3758
1000.0000,1500.0000,1497.3390
1000.0000,1800.0000,1497.9173
1000.0000,2100.0000,1498.2240
1000.0000,2400.0000,1498.4285
1000.0000,2700.0000,1498.7015
1000.0000,3000.0000,1498.7015
1083.3333,0.0000,1489.6989
1083.3333,300.0000,1490.2905
1083.3333,600.0000,1491.7043
1083.3333,900.0000,1493.2825
1083.3333,1200.0000,1494.5929
1083.3333,1500.0000,1495.4560
1083.3333,1800.0000,1495.8842
1083.3333,2100.0000,1496.0328
1083.3333,2400.0000,1496.1044
1083.3333,2700.0000,1496.3218
1083.3333,3000.0000,1496.3218
1166.6667,0.0000,1488.4481
1166.6667,300.0000,1489.0514
1166.6667,600.0000,1490.4712
1166.6667,900.0000,1492.0351
1166.6667,1200.0000,1493.2979
1166.6667,1500.0000,1494.0736
1166.6667,1800.0000,1494.3832
1166.6667,2100.0000,1494.4079
1166.6667,2400.0000,1494.3790
1166.6667,2700.0000,1494.5516
1166.6667,3000.0000,1494.5516
1250.0000,0.0000,1487.7118
1250.0000,300.0000,1488.3225
1250.0000,600.0000,1489.7405
1250.0000,900.0000,1491.2844
1250.0000,1200.0000,1492.5017
1250.0000,1500.0000,1493.2043
1250.0000,1800.0000,1493.4212
1250.0000,2100.0000,1493.3509
1250.0000,2400.0000,1493.2458
1250.0000,2700.0000,1493.3814
1250.0000,3000.0000,1493.3814
1333.3333,0.0000,1487.4688
1333.3333,300.0000,1488.0867
1333.3333,600.0000,1489.5011
1333.3333,900.0000,1491.0256
1333.3333,1200.0000,1492.2037
1333.3333,1500.0000,1492.8478
1333.3333,1800.0000,1492.9932
1333.3333,2100.0000,1492.8505
1333.3333,2400.0000,1492.6865
1333.3333,2700.0000,1492.7901
1333.3333,3000.0000,1492.7901
1416.6667,0.0000,1487.6928
1416.6667,300.0000,1488.3205
1416.6667,600.0000,1489.7336
1416.6667,900.0000,1491.2430
1416.6667,1200.0000,1492.3906
1416.6667,1500.0000,1492.9900
1416.6667,1800.0000,1493.0813
1416.6667,2100.0000,1492.8835
1416.6667,2400.0000,1492.6732
1416.6667,2700.0000,1492.7475
1416.6667,3000.0000,1492.7475
1500.0000,0.0000,1488.3506
1500.0000,300.0000,1488.9919
1500.0000,600.0000,1490.4085
1500.0000,900.0000,1491.9095
1500.0000,1200.0000,1493.0363
1500.0000,1500.0000,1493.6036
1500.0000,1800.0000,1493.6554
1500.0000,2100.0000,1493.4160
1500.0000,2400.0000,1493.1681
1500.0000,2700.0000,1493.2144
1500.0000,3000.0000,1493.2144
