y,x,val
0.0000,0.0000,1526.8325
0.0000,300.0000,1528.0606
0.0000,600.0000,1530.4151
0.0000,900.0000,1532.8423
0.0000,1200.0000,1534.6774
0.0000,1500.0000,1535.7299
0.0000,1800.0000,1536.3171
0.0000,2100.0000,1536.3990
0.0000,2400.0000,1536.1919
0.0000,2700.0000,1535.8537
0.0000,3000.0000,1535.8537
83.3333,0.0000,1525.7005
83.3333,300.0000,1526.9642
83.3333,600.0000,1529.8110
83.3333,900.0000,1532.4896
83.3333,1200.0000,1534.3660
83.3333,1500.0000,1535.2260
83.3333,1800.0000,1535.8673
83.3333,2100.0000,1535.8584
83.3333,2400.0000,1535.5966
83.3333,2700.0000,1535.2169
83.3333,3000.0000,1535.2169
166.6667,0.0000,1523.7080
166.6667,300.0000,1525.0037
166.6667,600.0000,1528.1529
166.6667,900.0000,1530.7856
166.6667,1200.0000,1532.6423
166.6667,1500.0000,1533.4202
166.6667,1800.0000,1534.1759
166.6667,2100.0000,1534.1392
166.6667,2400.0000,1533.9183
166.6667,2700.0000,1533.5840
166.6667,3000.0000,1533.5840
250.0000,0.0000,1521.0125
250.0000,300.0000,1522.3067
250.0000,600.0000,1525.5480
250.0000,900.0000,1528.1309
250.0000,1200.0000,1529.9417
250.0000,1500.0000,1530.6918
250.0000,1800.0000,1531.5106
250.0000,2100.0000,1531.5062
250.0000,2400.0000,1531.3475
250.0000,2700.0000,1531.0849
250.0000,3000.0000,1531.0849
333.3333,0.0000,1517.7698
333.3333,300.0000,1519.0280
333.3333,600.0000,1522.2638
333.3333,900.0000,1524.7990
333.3333,1200.0000,1526.5653
333.3333,1500.0000,1527.2999
333.3333,1800.0000,1528.1484
333.3333,2100.0000,1528.1851
333.3333,2400.0000,1528.0873
333.3333,2700.0000,1527.8989
333.3333,3000.0000,1527.8989
416.6667,0.0000,1514.1463
416.6667,300.0000,1515.3509
416.6667,600.0000,1518.5421
416.6667,900.0000,1521.0263
416.6667,1200.0000,1522.7498
416.6667,1500.0000,1523.4668
416.6667,1800.0000,1524.3217
416.6667,2100.0000,1524.3861
416.6667,2400.0000,1524.3360
416.6667,2700.0000,1524.2146
416.6667,3000.0000,1524.2146
500.0000,0.0000,1510.3110
500.0000,300.0000,1511.4596
500.0000,600.0000,1514.5922
500.0000,900.0000,1517.0187
500.0000,1200.0000,1518.6966
500.0000,1500.0000,1519.3899
500.0000,1800.0000,1520.2297
500.0000,2100.0000,1520.2994
500.0000,2400.0000,1520.2780
500.0000,2700.0000,1520.2121
500.0000,3000.0000,1520.2121
583.3333,0.0000,1506.4255
583.3333,300.0000,1507.5305
583.3333,600.0000,1510.5982
583.3333,900.0000,1512.9533
583.3333,1200.0000,1514.5783
583.3333,1500.0000,1515.2460
583.3333,1800.0000,1516.0461
583.3333,2100.0000,1516.0931
583.3333,2400.0000,1516.0784
583.3333,2700.0000,1516.0559
583.3333,3000.0000,1516.0559
666.6667,0.0000,1502.6362
666.6667,300.0000,1503.7348
666.6667,600.0000,1506.7248
666.6667,900.0000,1508.9753
666.6667,1200.0000,1510.5344
666.6667,1500.0000,1511.1964
666.6667,1800.0000,1511.9205
666.6667,2100.0000,1511.9124
666.6667,2400.0000,1511.8824
666.6667,2700.0000,1511.8932
666.6667,3000.0000,1511.8932
750.0000,0.0000,1499.0686
750.0000,300.0000,1500.2510
750.0000,600.0000,1503.1135
750.0000,900.0000,1505.1879
750.0000,1200.0000,1506.6561
750.0000,1500.0000,1507.3973
750.0000,1800.0000,1507.9729
750.0000,2100.0000,1507.8796
750.0000,2400.0000,1507.8176
750.0000,2700.0000,1507.8575
750.0000,3000.0000,1507.8575
833.3333,0.0000,1495.8336
833.3333,300.0000,1497.2630
833.3333,600.0000,1499.8484
833.3333,900.0000,1501.6463
833.3333,1200.0000,1502.9723
833.3333,1500.0000,1504.0002
833.3333,1800.0000,1504.2751
833.3333,2100.0000,1504.1042
833.3333,2400.0000,1504.0050
833.3333,2700.0000,1504.0764
833.3333,3000.0000,1504.0764
916.6667,0.0000,1493.1633
