y,x,val
0.0000,0.0000,8.7686
0.0000,300.0000,8.8366
0.0000,600.0000,8.1353
0.0000,900.0000,7.3354
0.0000,1200.0000,6.8647
0.0000,1500.0000,6.7080
0.0000,1800.0000,6.9049
0.0000,2100.0000,7.4941
0.0000,2400.0000,8.4229
0.0000,2700.0000,9.6150
0.0000,3000.0000,9.6150
83.3333,0.0000,1.9086
83.3333,300.0000,1.9494
83.3333,600.0000,0.9425
83.3333,900.0000,0.0122
83.3333,1200.0000,0.4126
83.3333,1500.0000,0.5761
83.3333,1800.0000,0.4162
83.3333,2100.0000,0.1679
83.3333,2400.0000,1.1051
83.3333,2700.0000,2.3231
83.3333,3000.0000,2.3231
166.6667,0.0000,2.9869
166.6667,300.0000,2.9505
166.6667,600.0000,4.1186
166.6667,900.0000,5.0230
166.6667,1200.0000,5.2900
166.6667,1500.0000,5.4748
166.6667,1800.0000,5.3978
166.6667,2100.0000,4.9403
166.6667,2400.0000,4.1212
166.6667,2700.0000,2.9615
166.6667,3000.0000,2.9615
250.0000,0.0000,6.1825
250.0000,300.0000,6.1195
250.0000,600.0000,7.3097
250.0000,900.0000,8.1425
250.0000,1200.0000,8.3172
250.0000,1500.0000,8.5101
250.0000,1800.0000,8.5197
250.0000,2100.0000,8.2003
250.0000,2400.0000,7.5198
250.0000,2700.0000,6.4536
250.0000,3000.0000,6.4536
333.3333,0.0000,7.9437
333.3333,300.0000,7.8295
333.3333,600.0000,8.9813
333.3333,900.0000,9.7481
333.3333,1200.0000,9.8660
333.3333,1500.0000,10.0660
333.3333,1800.0000,10.1491
333.3333,2100.0000,9.9486
333.3333,2400.0000,9.3940
333.3333,2700.0000,8.4259
333.3333,3000.0000,8.4259
416.6667,0.0000,8.5360
416.6667,300.0000,8.3602
416.6667,600.0000,9.4539
416.6667,900.0000,10.1623
416.6667,1200.0000,10.2429
416.6667,1500.0000,10.4502
416.6667,1800.0000,10.5912
416.6667,2100.0000,10.4863
416.6667,2400.0000,10.0380
416.6667,2700.0000,9.1609
416.6667,3000.0000,9.1609
500.0000,0.0000,8.2153
500.0000,300.0000,7.9785
500.0000,600.0000,9.0096
500.0000,900.0000,9.6632
500.0000,1200.0000,9.7146
500.0000,1500.0000,9.9260
500.0000,1800.0000,10.1103
500.0000,2100.0000,10.0816
500.0000,2400.0000,9.7228
500.0000,2700.0000,8.9271
500.0000,3000.0000,8.9271
583.3333,0.0000,7.2192
583.3333,300.0000,6.9311
583.3333,600.0000,7.8985
583.3333,900.0000,8.4926
583.3333,1200.0000,8.5160
583.3333,1500.0000,8.7248
583.3333,1800.0000,8.9376
583.3333,2100.0000,8.9717
583.3333,2400.0000,8.6918
583.3333,2700.0000,7.9689
583.3333,3000.0000,7.9689
666.6667,0.0000,5.7626
666.6667,300.0000,5.4481
666.6667,600.0000,6.3437
666.6667,900.0000,6.8577
666.6667,1200.0000,6.8550
666.6667,1500.0000,7.0512
666.6667,1800.0000,7.2743
666.6667,2100.0000,7.3644
666.6667,2400.0000,7.1613
666.6667,2700.0000,6.5040
666.6667,3000.0000,6.5040
750.0000,0.0000,4.0326
750.0000,300.0000,3.7509
750.0000,600.0000,4.5419
750.0000,900.0000,4.9229
750.0000,1200.0000,4.9178
750.0000,1500.0000,5.0883
750.0000,1800.0000,5.2917
750.0000,2100.0000,5.4400
750.0000,2400.0000,5.3215
750.0000,2700.0000,4.7213
750.0000,3000.0000,4.7213
833.3333,0.0000,2.1922
833.3333,300.0000,2.0502
833.3333,600.0000,2.6450
833.3333,900.0000,2.8001
833.3333,1200.0000,2.8768
833.3333,1500.0000,3.0038
833.3333,1800.0000,3.1394
833.3333,2100.0000,3.3570
833.3333,2400.0000,3.3356
833.3333,2700.0000,2.7765
833.3333,3000.0000,2.7765
916.6667,0.0000,0.4627
916.6667,300.0000,0.3873
916.6667,600.0000,0.6661
916.6667,900.0000,0.6507
916.6667,1200.0000,0.8492
916.6667,1500.0000,0.9359
916.6667,1800.0000,1.0125
916.6667,2100.0000,1.2645
916.6667,2400.0000,1.3058
916.6667,2700.0000,0.7849
916.6667,3000.0000,0.7849
1000.0000,0.0000,1.1632
1000.0000,300.0000,1.2618
1000.0000,600.0000,1.1776
1000.0000,900.0000,1.3145
1000.0000,1200.0000,1.0934
1000.0000,1500.0000,1.0277
1000.0000,1800.0000,0.9821
1000.0000,2100.0000,0.7190
1000.0000,2400.0000,0.6444
1000.0000,2700.0000,1.1356
1000.0000,3000.0000,1.1356
1083.3333,0.0000,2.6436
1083.3333,300.0000,2.7839
1083.3333,600.0000,2.8134
1083.3333,900.0000,3.0366
1083.3333,1200.0000,2.8390
1083.3333,1500.0000,2.7950
1083.3333,1800.0000,2.7690
1083.3333,2100.0000,2.5057
1083.3333,2400.0000,2.4157
1083.3333,2700.0000,2.8876
1083.3333,3000.0000,2.8876
1166.6667,0.0000,3.9187
1166.6667,300.0000,4.0932
1166.6667,600.0000,4.1916
1166.6667,900.0000,4.4763
1166.6667,1200.0000,4.3139
1166.6667,1500.0000,4.2945
1166.6667,1800.0000,4.2859
1166.6667,2100.0000,4.0286
1166.6667,2400.0000,3.9343
1166.6667,2700.0000,4.3960
1166.6667,3000.0000,4.3960
1250.0000,0.0000,4.9359
1250.0000,300.0000,5.1324
1250.0000,600.0000,5.2734
1250.0000,900.0000,5.6012
1250.0000,1200.0000,5.4721
1250.0000,1500.0000,5.4773
1250.0000,1800.0000,5.4863
1250.0000,2100.0000,5.2390
1250.0000,2400.0000,5.1475
1250.0000,2700.0000,5.6067
1250.0000,3000.0000,5.6067
1333.3333,0.0000,5.6583
1333.3333,300.0000,5.8656
1333.3333,600.0000,6.0317
1333.3333,900.0000,6.3888
1333.3333,1200.0000,6.2865
1333.3333,1500.0000,6.3139
1333.3333,1800.0000,6.3403
1333.3333,2100.0000,6.1057
1333.3333,2400.0000,6.0222
1333.3333,2700.0000,6.4852
1333.3333,3000.0000,6.4852
1416.6667,0.0000,6.0659
1416.6667,300.0000,6.2744
1416.6667,600.0000,6.4528
1416.6667,900.0000,6.8282
1416.6667,1200.0000,6.7455
1416.6667,1500.0000,6.7915
1416.6667,1800.0000,6.8345
1416.6667,2100.0000,6.6142
1416.6667,2400.0000,6.5425
1416.6667,2700.0000,7.0152
1416.6667,3000.0000,7.0152
1500.0000,0.0000,6.1556
1500.0000,300.0000,6.3568
1500.0000,600.0000,6.5376
1500.0000,900.0000,6.9221
1500.0000,1200.0000,6.8521
1500.0000,1500.0000,6.9127
1500.0000,1800.0000,6.9709
1500.0000,2100.0000,6.7659
1500.0000,2400.0000,6.7095
1500.0000,2700.0000,7.1972
