y,x,val
0.0000,0.0000,6.8300
0.0000,300.0000,6.8413
0.0000,600.0000,6.5834
0.0000,900.0000,6.1596
0.0000,1200.0000,5.7021
0.0000,1500.0000,5.3295
0.0000,1800.0000,5.1680
0.0000,2100.0000,5.3477
0.0000,2400.0000,6.1061
0.0000,2700.0000,7.6131
0.0000,3000.0000,7.6131
83.3333,0.0000,0.5269
83.3333,300.0000,0.5447
83.3333,600.0000,0.3270
83.3333,900.0000,0.0525
83.3333,1200.0000,0.4527
83.3333,1500.0000,0.7893
83.3333,1800.0000,0.9524
83.3333,2100.0000,0.8844
83.3333,2400.0000,0.2389
83.3333,2700.0000,1.2897
83.3333,3000.0000,1.2897
166.6667,0.0000,2.6304
166.6667,300.0000,2.3232
166.6667,600.0000,2.2750
166.6667,900.0000,2.3801
166.6667,1200.0000,2.4749
166.6667,1500.0000,2.5668
166.6667,1800.0000,2.6158
166.6667,2100.0000,2.6698
166.6667,2400.0000,2.3299
166.6667,2700.0000,1.2405
166.6667,3000.0000,1.2405
250.0000,0.0000,3.5107
250.0000,300.0000,2.8437
250.0000,600.0000,2.4506
250.0000,900.0000,2.2112
250.0000,1200.0000,1.9619
250.0000,1500.0000,1.7769
250.0000,1800.0000,1.6950
250.0000,2100.0000,1.8376
250.0000,2400.0000,1.8035
250.0000,2700.0000,1.2343
250.0000,3000.0000,1.2343
333.3333,0.0000,3.0841
333.3333,300.0000,2.1058
333.3333,600.0000,1.4326
333.3333,900.0000,0.9250
333.3333,1200.0000,0.4172
333.3333,1500.0000,0.0238
333.3333,1800.0000,0.1545
333.3333,2100.0000,0.0525
333.3333,2400.0000,0.2604
333.3333,2700.0000,0.1335
333.3333,3000.0000,0.1335
416.6667,0.0000,2.2314
416.6667,300.0000,1.1619
416.6667,600.0000,0.4291
416.6667,900.0000,0.1466
416.6667,1200.0000,0.7249
416.6667,1500.0000,1.1683
416.6667,1800.0000,1.3400
416.6667,2100.0000,1.0568
416.6667,2400.0000,0.7307
416.6667,2700.0000,0.7622
416.6667,3000.0000,0.7622
500.0000,0.0000,1.3393
500.0000,300.0000,0.2794
500.0000,600.0000,0.4114
500.0000,900.0000,0.9469
500.0000,1200.0000,1.4909
500.0000,1500.0000,1.8978
500.0000,1800.0000,2.0181
500.0000,2100.0000,1.6713
500.0000,2400.0000,1.2923
500.0000,2700.0000,1.3154
500.0000,3000.0000,1.3154
583.3333,0.0000,0.6249
583.3333,300.0000,0.3734
583.3333,600.0000,0.9829
583.3333,900.0000,1.4316
583.3333,1200.0000,1.8942
583.3333,1500.0000,2.2269
583.3333,1800.0000,2.2808
583.3333,2100.0000,1.8829
583.3333,2400.0000,1.4787
583.3333,2700.0000,1.5188
583.3333,3000.0000,1.5188
666.6667,0.0000,0.1517
666.6667,300.0000,0.7577
666.6667,600.0000,1.2510
666.6667,900.0000,1.5906
666.6667,1200.0000,1.9562
666.6667,1500.0000,2.2054
666.6667,1800.0000,2.1934
666.6667,2100.0000,1.7579
666.6667,2400.0000,1.3417
666.6667,2700.0000,1.4084
666.6667,3000.0000,1.4084
750.0000,0.0000,0.0785
750.0000,300.0000,0.8698
750.0000,600.0000,1.2145
750.0000,900.0000,1.4425
750.0000,1200.0000,1.7154
750.0000,1500.0000,1.8889
750.0000,1800.0000,1.8176
750.0000,2100.0000,1.3643
750.0000,2400.0000,0.9436
750.0000,2700.0000,1.0425
750.0000,3000.0000,1.0425
833.3333,0.0000,0.1134
833.3333,300.0000,0.7658
833.3333,600.0000,0.9399
833.3333,900.0000,1.0717
833.3333,1200.0000,1.2525
833.3333,1500.0000,1.3552
833.3333,1800.0000,1.2212
833.3333,2100.0000,0.7819
833.3333,2400.0000,0.3599
833.3333,2700.0000,0.4996
833.3333,3000.0000,0.4996
916.6667,0.0000,0.0254
916.6667,300.0000,0.5536
916.6667,600.0000,0.5901
916.6667,900.0000,0.6239
916.6667,1200.0000,0.6862
916.6667,1500.0000,0.6937
916.6667,1800.0000,0.4855
916.6667,2100.0000,0.0827
916.6667,2400.0000,0.3166
916.6667,2700.0000,0.1143
916.6667,3000.0000,0.1143
1000.0000,0.0000,0.0638
1000.0000,300.0000,0.3715
1000.0000,600.0000,0.2981
1000.0000,900.0000,0.2408
1000.0000,1200.0000,0.2071
1000.0000,1500.0000,0.1321
1000.0000,1800.0000,0.1318
1000.0000,2100.0000,0.5264
1000.0000,2400.0000,0.9115
1000.0000,2700.0000,0.6406
1000.0000,3000.0000,0.6406
1083.3333,0.0000,0.0523
1083.3333,300.0000,0.3607
1083.3333,600.0000,0.2449
1083.3333,900.0000,0.1514
1083.3333,1200.0000,0.0772
1083.3333,1500.0000,0.0383
1083.3333,1800.0000,0.3353
1083.3333,2100.0000,0.7429
1083.3333,2400.0000,1.1473
1083.3333,2700.0000,0.8923
1083.3333,3000.0000,0.8923
1166.6667,0.0000,0.0126
1166.6667,300.0000,0.4220
1166.6667,600.0000,0.2908
1166.6667,900.0000,0.1844
1166.6667,1200.0000,0.0972
1166.6667,1500.0000,0.0318
1166.6667,1800.0000,0.3411
1166.6667,2100.0000,0.7589
1166.6667,2400.0000,1.1815
1166.6667,2700.0000,0.9503
1166.6667,3000.0000,0.9503
1250.0000,0.0000,0.0742
1250.0000,300.0000,0.4771
1250.0000,600.0000,0.3332
1250.0000,900.0000,0.2213
1250.0000,1200.0000,0.1347
1250.0000,1500.0000,0.0111
1250.0000,1800.0000,0.2899
1250.0000,2100.0000,0.7000
1250.0000,2400.0000,1.1233
1250.0000,2700.0000,0.9028
1250.0000,3000.0000,0.9028
1333.3333,0.0000,0.0916
1333.3333,300.0000,0.4744
1333.3333,600.0000,0.3078
1333.3333,900.0000,0.1892
1333.3333,1200.0000,0.1097
1333.3333,1500.0000,0.0059
1333.3333,1800.0000,0.2651
1333.3333,2100.0000,0.6424
1333.3333,2400.0000,1.0414
1333.3333,2700.0000,0.8122
1333.3333,3000.0000,0.8122
1416.6667,0.0000,0.0444
1416.6667,300.0000,0.3978
1416.6667,600.0000,0.1930
1416.6667,900.0000,0.0589
1416.6667,1200.0000,0.0120
1416.6667,1500.0000,0.0845
1416.6667,1800.0000,0.3036
1416.6667,2100.0000,0.6181
1416.6667,2400.0000,0.9648
1416.6667,2700.0000,0.7049
1416.6667,3000.0000,0.7049
1500.0000,0.0000,0.0765
1500.0000,300.0000,0.2380
1500.0000,600.0000,0.0125
1500.0000,900.0000,0.1628
1500.0000,1200.0000,0.2211
1500.0000,1500.0000,0.2523
1500.0000,1800.0000,0.3990
1500.0000,2100.0000,0.6190
1500.0000,2400.0000,0.8844
1500.0000,2700.0000,0.5704
1500.0000,3000.0000,0.5704
1583.3333,0.0000,0.2356
1583.3333,300.0000,0.0400
1583.3333,600.0000,0.2544
1583.3333,900.0000,0.4185
1583.3333,1200.0000,0.4564
1583.3333,1500.0000,0.4365
1583.3333,1800.0000,0.4994
1583.3333,2100.0000,0.6029
1583.3333,2400.0000,0.7571
1583.3333,2700.0000,0.3645
1583.3333,3000.0000,0.3645
1666.6667,0.0000,0.3792
1666.6667,300.0000,0.1324
1666.6667,600.0000,0.4481
1666.6667,900.0000,0.6023
1666.6667,1200.0000,0.5999
1666.6667,1500.0000,0.5119
1666.6667,1800.0000,0.4783
1666.6667,2100.0000,0.4611
1666.6667,2400.0000,0.4979
1666.6667,2700.0000,0.0196
1666.6667,3000.0000,0.0196
1750.0000,0.0000,0.4428
1750.0000,300.0000,0.1706
1750.0000,600.0000,0.4454
1750.0000,900.0000,0.5346
1750.0000,1200.0000,0.4528
1750.0000,1500.0000,0.2737
1750.0000,1800.0000,0.1383
1750.0000,2100.0000,0.0184
1750.0000,2400.0000,0.0212
1750.0000,2700.0000,0.5033
1750.0000,3000.0000,0.5033
1833.3333,0.0000,0.4793
1833.3333,300.0000,0.1727
1833.3333,600.0000,0.3881
1833.3333,900.0000,0.4023
1833.3333,1200.0000,0.2417
1833.3333,1500.0000,0.0167
1833.3333,1800.0000,0.2307
1833.3333,2100.0000,0.4222
1833.3333,2400.0000,0.5073
1833.3333,2700.0000,0.9792
1833.3333,3000.0000,0.9792
1916.6667,0.0000,0.5309
1916.6667,300.0000,0.1964
1916.6667,600.0000,0.3573
1916.6667,900.0000,0.3128
1916.6667,1200.0000,0.1017
1916.6667,1500.0000,0.1984
1916.6667,1800.0000,0.4498
1916.6667,2100.0000,0.6758
1916.6667,2400.0000,0.7848
1916.6667,2700.0000,1.2542
1916.6667,3000.0000,1.2542
2000.0000,0.0000,0.5981
2000.0000,300.0000,0.2445
2000.0000,600.0000,0.3673
2000.0000,900.0000,0.2971
2000.0000,1200.0000,0.0837
2000.0000,1500.0000,0.2021
2000.0000,1800.0000,0.4373
2000.0000,2100.0000,0.6579
2000.0000,2400.0000,0.7752
2000.0000,2700.0000,1.2593
