y,x,val
0.0000,0.0000,1495.5593
0.0000,222.2222,1495.3395
0.0000,444.4444,1494.9488
0.0000,666.6667,1494.4510
0.0000,888.8889,1493.9189
0.0000,1111.1111,1493.4205
0.0000,1333.3333,1493.0210
0.0000,1555.5556,1492.7868
0.0000,1777.7778,1492.7690
0.0000,2000.0000,1492.7690
80.0000,0.0000,1495.7881
80.0000,222.2222,1495.5581
80.0000,444.4444,1495.1502
80.0000,666.6667,1494.6359
80.0000,888.8889,1494.0931
80.0000,1111.1111,1493.5871
80.0000,1333.3333,1493.1776
80.0000,1555.5556,1492.9333
80.0000,1777.7778,1492.9191
80.0000,2000.0000,1492.9191
160.0000,0.0000,1496.2585
160.0000,222.2222,1496.0287
160.0000,444.4444,1495.6176
160.0000,666.6667,1495.1048
160.0000,888.8889,1494.5703
160.0000,1111.1111,1494.0753
160.0000,1333.3333,1493.6730
160.0000,1555.5556,1493.4272
160.0000,1777.7778,1493.4046
160.0000,2000.0000,1493.4046
240.0000,0.0000,1496.9610
240.0000,222.2222,1496.7402
240.0000,444.4444,1496.3398
240.0000,666.6667,1495.8432
240.0000,888.8889,1495.3280
240.0000,1111.1111,1494.8514
240.0000,1333.3333,1494.4625
240.0000,1555.5556,1494.2188
240.0000,1777.7778,1494.1848
240.0000,2000.0000,1494.1848
320.0000,0.0000,1497.8749
320.0000,222.2222,1497.6675
320.0000,444.4444,1497.2849
320.0000,666.6667,1496.8109
320.0000,888.8889,1496.3202
320.0000,1111.1111,1495.8662
320.0000,1333.3333,1495.4935
320.0000,1555.5556,1495.2547
320.0000,1777.7778,1495.2110
320.0000,2000.0000,1495.2110
400.0000,0.0000,1498.9738
400.0000,222.2222,1498.7818
400.0000,444.4444,1498.4199
400.0000,666.6667,1497.9711
400.0000,888.8889,1497.5075
400.0000,1111.1111,1497.0783
400.0000,1333.3333,1496.7238
400.0000,1555.5556,1496.4921
400.0000,1777.7778,1496.4412
400.0000,2000.0000,1496.4412
480.0000,0.0000,1500.2300
480.0000,222.2222,1500.0535
480.0000,444.4444,1499.7131
480.0000,666.6667,1499.2906
480.0000,888.8889,1498.8553
480.0000,1111.1111,1498.4524
480.0000,1333.3333,1498.1178
480.0000,1555.5556,1497.8952
480.0000,1777.7778,1497.8396
480.0000,2000.0000,1497.8396
560.0000,0.0000,1501.6164
560.0000,222.2222,1501.4547
560.0000,444.4444,1501.1355
560.0000,666.6667,1500.7396
560.0000,888.8889,1500.3334
560.0000,1111.1111,1499.9581
560.0000,1333.3333,1499.6453
560.0000,1555.5556,1499.4341
560.0000,1777.7778,1499.3757
560.0000,2000.0000,1499.3757
640.0000,0.0000,1503.1079
640.0000,222.2222,1502.9600
640.0000,444.4444,1502.6618
640.0000,666.6667,1502.2928
640.0000,888.8889,1501.9165
640.0000,1111.1111,1501.5701
640.0000,1333.3333,1501.2807
640.0000,1555.5556,1501.0828
640.0000,1777.7778,1501.0231
640.0000,2000.0000,1501.0231
720.0000,0.0000,1504.6822
720.0000,222.2222,1504.5479
720.0000,444.4444,1504.2714
720.0000,666.6667,1503.9307
720.0000,888.8889,1503.5849
720.0000,1111.1111,1503.2675
720.0000,1333.3333,1503.0020
720.0000,1555.5556,1502.8183
720.0000,1777.7778,1502.7576
720.0000,2000.0000,1502.7576
800.0000,0.0000,1506.3183
800.0000,222.2222,1506.2015
800.0000,444.4444,1505.9521
800.0000,666.6667,1505.6426
800.0000,888.8889,1505.3268
800.0000,1111.1111,1505.0357
800.0000,1333.3333,1504.7907
800.0000,1555.5556,1504.6185
800.0000,1777.7778,1504.5542
800.0000,2000.0000,1504.5542
880.0000,0.0000,1507.9893
880.0000,222.2222,1507.8908
880.0000,444.4444,1507.6682
880.0000,666.6667,1507.3893
880.0000,888.8889,1507.1032
880.0000,1111.1111,1506.8375
880.0000,1333.3333,1506.6116
880.0000,1555.5556,1506.4488
880.0000,1777.7778,1506.3805
880.0000,2000.0000,1506.3805
960.0000,0.0000,1509.6663
960.0000,222.2222,1509.5854
960.0000,444.4444,1509.3882
960.0000,666.6667,1509.1385
960.0000,888.8889,1508.8811
960.0000,1111.1111,1508.6403
960.0000,1333.3333,1508.4327
960.0000,1555.5556,1508.2788
960.0000,1777.7778,1508.2068
960.0000,2000.0000,1508.2068
1040.0000,0.0000,1511.3215
1040.0000,222.2222,1511.2569
1040.0000,444.4444,1511.0838
1040.0000,666.6667,1510.8620
1040.0000,888.8889,1510.6323
1040.0000,1111.1111,1510.4159
1040.0000,1333.3333,1510.2263
1040.0000,1555.5556,1510.0814
