y,x,val
0.0000,0.0000,1507.2460
0.0000,222.2222,1507.1430
0.0000,444.4444,1506.8972
0.0000,666.6667,1506.5310
0.0000,888.8889,1506.0772
0.0000,1111.1111,1505.6345
0.0000,1333.3333,1505.2870
0.0000,1555.5556,1505.0678
0.0000,1777.7778,1504.9969
0.0000,2000.0000,1504.9969
80.0000,0.0000,1507.3171
80.0000,222.2222,1507.2165
80.0000,444.4444,1506.9631
80.0000,666.6667,1506.5811
80.0000,888.8889,1506.1141
80.0000,1111.1111,1505.6555
80.0000,1333.3333,1505.2859
80.0000,1555.5556,1505.0551
80.0000,1777.7778,1504.9871
80.0000,2000.0000,1504.9871
160.0000,0.0000,1507.4158
160.0000,222.2222,1507.3159
160.0000,444.4444,1507.0595
160.0000,666.6667,1506.6564
160.0000,888.8889,1506.2109
160.0000,1111.1111,1505.7600
160.0000,1333.3333,1505.3601
160.0000,1555.5556,1505.1180
160.0000,1777.7778,1505.0465
160.0000,2000.0000,1505.0465
240.0000,0.0000,1507.5392
240.0000,222.2222,1507.4377
240.0000,444.4444,1507.1773
240.0000,666.6667,1506.7635
240.0000,888.8889,1506.3553
240.0000,1111.1111,1505.9265
240.0000,1333.3333,1505.5052
240.0000,1555.5556,1505.2489
240.0000,1777.7778,1505.1701
240.0000,2000.0000,1505.1701
320.0000,0.0000,1507.6869
320.0000,222.2222,1507.5850
320.0000,444.4444,1507.3249
320.0000,666.6667,1506.9161
320.0000,888.8889,1506.5354
320.0000,1111.1111,1506.1261
320.0000,1333.3333,1505.6997
320.0000,1555.5556,1505.4341
320.0000,1777.7778,1505.3482
320.0000,2000.0000,1505.3482
400.0000,0.0000,1507.8585
400.0000,222.2222,1507.7581
400.0000,444.4444,1507.5025
400.0000,666.6667,1507.1053
400.0000,888.8889,1506.7462
400.0000,1111.1111,1506.3539
400.0000,1333.3333,1505.9306
400.0000,1555.5556,1505.6604
400.0000,1777.7778,1505.5691
400.0000,2000.0000,1505.5691
480.0000,0.0000,1508.0520
480.0000,222.2222,1507.9540
480.0000,444.4444,1507.7044
480.0000,666.6667,1507.3217
480.0000,888.8889,1506.9829
480.0000,1111.1111,1506.6077
480.0000,1333.3333,1506.1907
480.0000,1555.5556,1505.9180
480.0000,1777.7778,1505.8223
480.0000,2000.0000,1505.8223
560.0000,0.0000,1508.2633
560.0000,222.2222,1508.1675
560.0000,444.4444,1507.9224
560.0000,666.6667,1507.5569
560.0000,888.8889,1507.2409
560.0000,1111.1111,1506.8855
560.0000,1333.3333,1506.4766
560.0000,1555.5556,1506.1995
560.0000,1777.7778,1506.0993
560.0000,2000.0000,1506.0993
640.0000,0.0000,1508.4876
640.0000,222.2222,1508.3932
640.0000,444.4444,1508.1461
640.0000,666.6667,1507.8032
640.0000,888.8889,1507.5155
640.0000,1111.1111,1507.1858
640.0000,1333.3333,1506.7868
640.0000,1555.5556,1506.4985
640.0000,1777.7778,1506.3937
640.0000,2000.0000,1506.3937
720.0000,0.0000,1508.7181
720.0000,222.2222,1508.6265
720.0000,444.4444,1508.3644
720.0000,666.6667,1508.0562
720.0000,888.8889,1507.8003
720.0000,1111.1111,1507.5036
720.0000,1333.3333,1507.1205
720.0000,1555.5556,1506.8093
720.0000,1777.7778,1506.7021
720.0000,2000.0000,1506.7021
800.0000,0.0000,1508.9434
800.0000,222.2222,1508.8511
800.0000,444.4444,1508.5858
800.0000,666.6667,1508.3223
800.0000,888.8889,1508.0865
800.0000,1111.1111,1507.8162
800.0000,1333.3333,1507.4645
800.0000,1555.5556,1507.1416
800.0000,1777.7778,1507.0276
800.0000,2000.0000,1507.0276
880.0000,0.0000,1509.1628
880.0000,222.2222,1509.0723
880.0000,444.4444,1508.8161
880.0000,666.6667,1508.5845
880.0000,888.8889,1508.3737
880.0000,1111.1111,1508.1293
880.0000,1333.3333,1507.8017
880.0000,1555.5556,1507.4800
880.0000,1777.7778,1507.3619
880.0000,2000.0000,1507.3619
960.0000,0.0000,1509.3757
960.0000,222.2222,1509.2887
960.0000,444.4444,1509.0468
960.0000,666.6667,1508.8418
960.0000,888.8889,1508.6575
960.0000,1111.1111,1508.4386
960.0000,1333.3333,1508.1318
960.0000,1555.5556,1507.8166
960.0000,1777.7778,1507.6962
960.0000,2000.0000,1507.6962
1040.0000,0.0000,1509.5798
1040.0000,222.2222,1509.4952
1040.0000,444.4444,1509.2700
1040.0000,666.6667,1509.0914
1040.0000,888.8889,1508.9341
1040.0000,1111.1111,1508.7403
1040.0000,1333.3333,1508.4547
1040.0000,1555.5556,1508.1477
1040.0000,1777.7778,1508.0240
1040.0000,2000.0000,1508.0240
1120.0000,0.0000,1509.7725
1120.0000,222.2222,1509.6841
1120.0000,444.4444,1509.4802
1120.0000,666.6667,1509.3307
1120.0000,888.8889,1509.1996
1120.0000,1111.1111,1509.0300
1120.0000,1333.3333,1508.7699
1120.0000,1555.5556,1508.4728
1120.0000,1777.7778,1508.3397
1120.0000,2000.0000,1508.3397
1200.0000,0.0000,1509.9522
1200.0000,222.2222,1509.8472
1200.0000,444.4444,1509.6766
1200.0000,666.6667,1509.5591
1200.0000,888.8889,1509.4494
1200.0000,1111.1111,1509.2987
1200.0000,1333.3333,1509.0730
1200.0000,1555.5556,1508.7928
1200.0000,1777.7778,1508.6393
1200.0000,2000.0000,1508.6393
1280.0000,0.0000,1510.1093
1280.0000,222.2222,1509.9980
1280.0000,444.4444,1509.8719
1280.0000,666.6667,1509.7756
1280.0000,888.8889,1509.6760
1280.0000,1111.1111,1509.5343
1280.0000,1333.3333,1509.3404
1280.0000,1555.5556,1509.0954
1280.0000,1777.7778,1508.9305
1280.0000,2000.0000,1508.9305
1360.0000,0.0000,1510.2525
1360.0000,222.2222,1510.1451
1360.0000,444.4444,1510.0465
1360.0000,666.6667,1509.9690
1360.0000,888.8889,1509.8807
1360.0000,1111.1111,1509.7515
1360.0000,1333.3333,1509.5821
1360.0000,1555.5556,1509.3618
1360.0000,1777.7778,1509.1975
1360.0000,2000.0000,1509.1975
1440.0000,0.0000,1510.3829
1440.0000,222.2222,1510.2814
1440.0000,444.4444,1510.1998
1440.0000,666.6667,1510.1381
1440.0000,888.8889,1510.0625
1440.0000,1111.1111,1509.9471
1440.0000,1333.3333,1509.7964
1440.0000,1555.5556,1509.5930
1440.0000,1777.7778,1509.4330
1440.0000,2000.0000,1509.4330
1520.0000,0.0000,1510.4980
1520.0000,222.2222,1510.4018
1520.0000,444.4444,1510.3319
1520.0000,666.6667,1510.2829
1520.0000,888.8889,1510.2196
1520.0000,1111.1111,1510.1173
1520.0000,1333.3333,1509.9812
1520.0000,1555.5556,1509.7903
1520.0000,1777.7778,1509.6350
1520.0000,2000.0000,1509.6350
1600.0000,0.0000,1510.5948
1600.0000,222.2222,1510.5032
1600.0000,444.4444,1510.4418
1600.0000,666.6667,1510.4027
1600.0000,888.8889,1510.3498
1600.0000,1111.1111,1510.2588
1600.0000,1333.3333,1510.1348
1600.0000,1555.5556,1509.9541
1600.0000,1777.7778,1509.8036
1600.0000,2000.0000,1509.8036
1680.0000,0.0000,1510.6706
1680.0000,222.2222,1510.5833
