y,x,val
0.0000,0.0000,-36.0572
0.0000,222.2222,-35.5727
0.0000,444.4444,-35.2138
0.0000,666.6667,-34.9616
0.0000,888.8889,-34.7870
0.0000,1111.1111,-34.6049
0.0000,1333.3333,-34.3324
0.0000,1555.5556,-33.9397
0.0000,1777.7778,-33.4080
0.0000,2000.0000,-33.4080
80.0000,0.0000,-30.3311
80.0000,222.2222,-29.8675
80.0000,444.4444,-29.5405
80.0000,666.6667,-29.3288
80.0000,888.8889,-29.1916
80.0000,1111.1111,-29.0494
80.0000,1333.3333,-28.8231
80.0000,1555.5556,-28.4689
80.0000,1777.7778,-27.9644
80.0000,2000.0000,-27.9644
160.0000,0.0000,-24.9207
160.0000,222.2222,-24.4864
160.0000,444.4444,-24.1937
160.0000,666.6667,-24.0331
160.0000,888.8889,-23.9094
160.0000,1111.1111,-23.7856
160.0000,1333.3333,-23.6174
160.0000,1555.5556,-23.3046
160.0000,1777.7778,-22.8367
160.0000,2000.0000,-22.8367
240.0000,0.0000,-19.8801
240.0000,222.2222,-19.4810
240.0000,444.4444,-19.2273
240.0000,666.6667,-19.1119
240.0000,888.8889,-18.9909
240.0000,1111.1111,-18.8742
240.0000,1333.3333,-18.7578
240.0000,1555.5556,-18.4912
240.0000,1777.7778,-18.0654
240.0000,2000.0000,-18.0654
320.0000,0.0000,-15.2421
320.0000,222.2222,-14.8791
320.0000,444.4444,-14.6617
320.0000,666.6667,-14.5785
320.0000,888.8889,-14.4683
320.0000,1111.1111,-14.3653
320.0000,1333.3333,-14.2864
320.0000,1555.5556,-14.0626
320.0000,1777.7778,-13.6794
320.0000,2000.0000,-13.6794
400.0000,0.0000,-11.0252
400.0000,222.2222,-10.6971
400.0000,444.4444,-10.5123
400.0000,666.6667,-10.4548
400.0000,888.8889,-10.3602
400.0000,1111.1111,-10.2745
400.0000,1333.3333,-10.2258
400.0000,1555.5556,-10.0401
400.0000,1777.7778,-9.6976
400.0000,2000.0000,-9.6976
480.0000,0.0000,-7.2384
480.0000,222.2222,-6.9438
480.0000,444.4444,-6.7895
480.0000,666.6667,-6.7543
480.0000,888.8889,-6.6753
480.0000,1111.1111,-6.6067
480.0000,1333.3333,-6.5842
