y,0,1,2,3,4,5,6,7,8
0.0,-36.0572,-35.5727,-35.2138,-34.9616,-34.787,-34.6049,-34.3324,-33.9397,-33.408
80.0,-30.3311,-29.8675,-29.5405,-29.3288,-29.1916,-29.0494,-28.8231,-28.4689,-27.9644
160.0,-24.9207,-24.4864,-24.1937,-24.0331,-23.9094,-23.7856,-23.6174,-23.3046,-22.8367
240.0,-19.8801,-19.481,-19.2273,-19.1119,-18.9909,-18.8742,-18.7578,-18.4912,-18.0654
320.0,-15.2421,-14.8791,-14.6617,-14.5785,-14.4683,-14.3653,-14.2864,-14.0626,-13.6794
400.0,-11.0252,-10.6971,-10.5123,-10.4548,-10.3602,-10.2745,-10.2258,-10.0401,-9.6976
480.0,-7.2384,-6.9438,-6.7895,-6.7543,-6.6753,-6.6067,-6.5842,-6.4338,-6.1298
560.0,-3.8835,-3.6216,-3.4982,-3.4821,-3.4148,-3.3594,-3.3599,-3.2451,-2.9782
640.0,-0.955,-0.7249,-0.637,-0.6347,-0.5725,-0.5234,-0.542,-0.4675,-0.2364
720.0,1.5592,1.7606,1.8029,1.8023,1.8658,1.9158,1.8887,1.9131,2.1122
800.0,3.6738,3.8447,3.8539,3.863,3.9199,3.9645,3.9438,3.931,4.0965
880.0,5.4182,5.5629,5.5525,5.5631,5.6179,5.6604,5.639,5.6033,5.7398
960.0,6.8246,6.9468,6.9234,6.9332,6.9886,7.0314,7.0074,6.9559,7.0671
1040.0,7.9242,8.0247,7.9923,8.0033,8.0615,8.1066,8.0821,8.0188,8.1058
1120.0,8.7465,8.8216,8.7855,8.8027,8.8648,8.9133,8.8938,8.8233,8.8823
1200.0,9.3199,9.3602,9.3315,9.3616,9.4243,9.4731,9.4669,9.3998,9.4217
1280.0,9.662,9.6785,9.6716,9.7084,9.763,9.804,9.8074,9.7605,9.7564
1360.0,9.8064,9.8107,9.8135,9.8546,9.9046,9.9417,9.9512,9.9137,9.8962
1440.0,9.7771,9.7731,9.7783,9.8212,9.8696,9.9055,9.918,9.8831,9.8566
1520.0,9.5924,9.5813,9.5854,9.6285,9.6761,9.7116,9.7249,9.6894,9.6555
1600.0,9.2679,9.2504,9.252,9.2939,9.3403,9.3748,9.3877,9.3503,9.31
1680.0,8.8171,8.7943,8.7934,8.8327,8.8765,8.9089,8.9203,8.8813,8.8363
1760.0,8.2514,8.2264,8.2234,8.2588,8.2978,8.3261,8.3349,8.2958,8.2494
1840.0,7.5801,7.5589,7.5555,7.5842,7.6157,7.6372,7.6417,7.6053,7.5642
1920.0,6.8089,6.8044,6.8016,6.8194,6.8404,6.8529,6.8492,6.819,6.7969
2000,6.8089,6.8044,6.8016,6.8194,6.8404,6.8529,6.8492,6.819,6.7969
