y,0,1,2,3,4,5,6,7,8
0.0,-37.6953,-37.2665,-37.0225,-36.9044,-36.8431,-36.769,-36.6137,-36.3109,-35.8061
80.0,-31.9377,-31.5362,-31.3302,-31.2525,-31.2309,-31.1961,-31.0814,-30.8184,-30.3438
160.0,-26.4823,-26.1125,-25.9388,-25.8914,-25.8965,-25.8878,-25.8025,-25.5731,-25.136
240.0,-21.3735,-21.0354,-20.8889,-20.8635,-20.8862,-20.8956,-20.8334,-20.6348,-20.2374
320.0,-16.641,-16.3333,-16.2105,-16.2027,-16.2392,-16.2628,-16.2202,-16.0496,-15.6904
400.0,-12.3053,-12.0266,-11.9251,-11.9323,-11.9799,-12.0154,-11.9895,-11.844,-11.5207
480.0,-8.3787,-8.1277,-8.0458,-8.0657,-8.1223,-8.167,-8.1551,-8.032,-7.7418
560.0,-4.8661,-4.6416,-4.5775,-4.6079,-4.6708,-4.7219,-4.721,-4.6175,-4.3576
640.0,-1.7635,-1.5642,-1.5164,-1.5549,-1.6208,-1.6749,-1.6819,-1.5952,-1.3631
720.0,0.942,1.118,1.1514,1.1081,1.0426,0.9888,0.9767,1.0488,1.2552
800.0,3.2711,3.4271,3.4514,3.4075,3.3444,3.2921,3.2765,3.3353,3.5165
880.0,5.2484,5.387,5.4045,5.3615,5.3024,5.2527,5.2346,5.2818,5.4398
960.0,6.8985,7.0217,7.0338,6.9929,6.9388,6.893,6.8738,6.9111,7.0481
1040.0,8.2461,8.3553,8.3635,8.3258,8.2781,8.2376,8.2187,8.2481,8.3664
1120.0,9.3153,9.4119,9.4178,9.3848,9.3448,9.3112,9.2944,9.3175,9.4188
1200.0,10.1304,10.2157,10.2214,10.1948,10.1634,10.1372,10.1236,10.1423,10.2279
1280.0,10.715,10.7922,10.8014,10.782,10.7575,10.7366,10.7258,10.7417,10.813
1360.0,11.0906,11.1613,11.1729,11.1595,11.141,11.1247,11.1158,11.1281,11.1868
1440.0,11.2735,11.3381,11.3505,11.3414,11.3277,11.315,11.3068,11.315,11.3624
1520.0,11.2768,11.3357,11.3476,11.341,11.3306,11.3202,11.3118,11.3157,11.353
1600.0,11.112,11.1654,11.1759,11.1703,11.1617,11.1523,11.1429,11.1424,11.1707
1680.0,10.7894,10.8377,10.8463,10.8406,10.8323,10.8226,10.8116,10.807,10.8275
1760.0,10.3187,10.3622,10.3687,10.362,10.3527,10.3417,10.3285,10.3203,10.3344
1840.0,9.709,9.7482,9.7529,9.7445,9.7328,9.719,9.7034,9.6925,9.7021
1920.0,8.9694,9.004,9.008,8.9975,8.9818,8.9637,8.9453,8.9333,8.9412
2000,8.9694,9.004,9.008,8.9975,8.9818,8.9637,8.9453,8.9333,8.9412
