y,0,1,2,3,4,5,6,7,8
40.0,-37.7018,-36.9956,-36.4868,-36.1439,-35.9195,-35.6746,-35.284,-34.7003,-33.8939
120.0,-31.9282,-31.2514,-30.7892,-30.5066,-30.3397,-30.1569,-29.8386,-29.3142,-28.5491
200.0,-26.4421,-25.8073,-25.3947,-25.1893,-25.0402,-24.8906,-24.6636,-24.2049,-23.4967
280.0,-21.2982,-20.7156,-20.3608,-20.224,-20.0762,-19.944,-19.8005,-19.4163,-18.7749
360.0,-16.5303,-16.0026,-15.7032,-15.6159,-15.4856,-15.3798,-15.2995,-14.9858,-14.4135
440.0,-12.159,-11.6858,-11.4375,-11.3917,-11.2884,-11.2149,-11.1874,-10.9384,-10.4336
520.0,-8.1982,-7.7785,-7.5792,-7.5706,-7.4956,-7.4545,-7.4744,-7.2866,-6.8471
600.0,-4.6569,-4.2896,-4.1403,-4.1636,-4.1115,-4.0969,-4.1597,-4.0336,-3.6571
680.0,-1.5367,-1.2201,-1.1276,-1.1732,-1.133,-1.1335,-1.2325,-1.1747,-0.8582
760.0,1.1674,1.4387,1.4597,1.4116,1.4495,1.4474,1.3265,1.3025,1.566
840.0,3.4623,3.6871,3.6572,3.6263,3.6503,3.6399,3.5224,3.4375,3.6464
920.0,5.3769,5.5628,5.5042,5.4774,5.4972,5.4834,5.3617,5.239,5.4016
1000.0,6.9435,7.0971,7.021,6.9951,7.0167,7.0034,6.8764,6.7277,6.8509
1080.0,8.1928,8.316,8.2298,8.2084,8.2359,8.2268,8.0987,7.9307,8.0168
1160.0,9.1537,9.2411,9.1541,9.1449,9.1808,9.1779,9.0582,8.8776,8.9215
1240.0,9.8542,9.8909,9.8223,9.8343,9.8743,9.8733,9.7767,9.5983,9.5867
1320.0,10.3077,10.3109,10.2816,10.3036,10.3345,10.3235,10.2473,10.0988,10.0482
1400.0,10.5524,10.5399,10.5291,10.559,10.5858,10.5717,10.5089,10.3764,10.3065
1480.0,10.6129,10.5904,10.586,10.621,10.6479,10.6351,10.5803,10.4539,10.3722
1560.0,10.5064,10.4753,10.4717,10.5092,10.5377,10.5273,10.477,10.3521,10.261
1640.0,10.2469,10.208,10.2027,10.2405,10.2697,10.2609,10.213,10.0881,9.9893
1720.0,9.8464,9.8014,9.7937,9.8296,9.8573,9.8481,9.8013,9.6771,9.5732
1800.0,9.3149,9.2677,9.258,9.2893,9.312,9.2997,9.2528,9.132,9.0284
1880.0,8.66,8.6198,8.609,8.6312,8.6442,8.6254,8.576,8.4641,8.3711
1960.0,7.8847,7.8708,7.8587,7.8649,7.8633,7.8351,7.7777,7.6825,7.6206
