y,0,1,2,3,4,5,6,7,8
40.0,1496.3804,1496.1076,1495.5695,1494.8565,1494.0746,1493.324,1492.7027,1492.3124,1492.2333
120.0,1496.6207,1496.3366,1495.7752,1495.0399,1494.2433,1493.4809,1492.8432,1492.436,1492.3585
200.0,1497.0692,1496.7831,1496.218,1495.4872,1494.7046,1493.9586,1493.3309,1492.9214,1492.8336
280.0,1497.725,1497.4471,1496.8963,1496.1898,1495.4366,1494.7192,1494.1132,1493.7098,1493.6104
360.0,1498.5754,1498.3119,1497.7848,1497.1112,1496.3951,1495.7131,1495.134,1494.7418,1494.6344
440.0,1499.5996,1499.3533,1498.8541,1498.2173,1497.5421,1496.8988,1496.3497,1495.9723,1495.8605
520.0,1500.7726,1500.5443,1500.0747,1499.4763,1498.8439,1498.2415,1497.7249,1497.3653,1497.2518
600.0,1502.0691,1501.8585,1501.4187,1500.8597,1500.2714,1499.7119,1499.2301,1498.8909,1498.7782
680.0,1503.4652,1503.2715,1502.8616,1502.343,1501.8001,1501.2851,1500.8404,1500.524,1500.4137
760.0,1504.9399,1504.7628,1504.3842,1503.9075,1503.4109,1502.9408,1502.5341,1502.2419,1502.1343
840.0,1506.4738,1506.3176,1505.9759,1505.5439,1505.0923,1504.6637,1504.2916,1504.0217,1503.9147
920.0,1508.0428,1507.9083,1507.6026,1507.2141,1506.8067,1506.4183,1506.0789,1505.8287,1505.722
1000.0,1509.6189,1509.5053,1509.2337,1508.8868,1508.5223,1508.1733,1507.8653,1507.6336,1507.5274
1080.0,1511.175,1511.081,1510.8419,1510.5349,1510.2119,1509.9013,1509.624,1509.4105,1509.3054
1160.0,1512.6865,1512.6109,1512.4036,1512.1353,1511.8523,1511.5785,1511.3312,1511.1363,1511.0329
1240.0,1514.1328,1514.0752,1513.9001,1513.6695,1513.424,1513.1844,1512.9655,1512.7892,1512.6878
1320.0,1515.4985,1515.4606,1515.3193,1515.1249,1514.9125,1514.7019,1514.5073,1514.3471,1514.2464
1400.0,1516.7662,1516.7463,1516.634,1516.4714,1516.2888,1516.1042,1515.9303,1515.7826,1515.6815
1480.0,1517.915,1517.9103,1517.8216,1517.6858,1517.5292,1517.3671,1517.2106,1517.0729,1516.9709
1560.0,1518.9243,1518.9322,1518.8624,1518.7486,1518.6136,1518.4706,1518.3287,1518.1987,1518.0959
1640.0,1519.7758,1519.7938,1519.7391,1519.6428,1519.5255,1519.3981,1519.2681,1519.1445,1519.041
1720.0,1520.454,1520.4798,1520.4368,1520.3543,1520.251,1520.1362,1520.0158,1519.8978,1519.7942
1800.0,1520.9465,1520.978,1520.9439,1520.8721,1520.7795,1520.6743,1520.5618,1520.4489,1520.3465
1880.0,1521.2451,1521.2791,1521.2517,1521.1878,1521.1029,1521.0047,1520.8986,1520.7913,1520.6923
1960.0,1521.3464,1521.3763,1521.354,1521.2962,1521.2161,1521.1223,1521.0209,1520.92,1520.8308
