y,x,val
0.0000,0.0000,-36.1420
0.0000,222.2222,-35.5048
0.0000,444.4444,-35.2073
0.0000,666.6667,-35.1535
0.0000,888.8889,-35.2222
0.0000,1111.1111,-35.2770
0.0000,1333.3333,-35.1823
0.0000,1555.5556,-34.8180
0.0000,1777.7778,-34.0905
0.0000,2000.0000,-34.0905
80.0000,0.0000,-30.3868
80.0000,222.2222,-29.7877
80.0000,444.4444,-29.5419
80.0000,666.6667,-29.5413
80.0000,888.8889,-29.6626
80.0000,1111.1111,-29.7708
80.0000,1333.3333,-29.7329
80.0000,1555.5556,-29.4272
80.0000,1777.7778,-28.7477
80.0000,2000.0000,-28.7477
160.0000,0.0000,-25.0061
160.0000,222.2222,-24.4543
160.0000,444.4444,-24.2462
160.0000,666.6667,-24.2738
160.0000,888.8889,-24.4114
160.0000,1111.1111,-24.5365
160.0000,1333.3333,-24.5284
160.0000,1555.5556,-24.2657
160.0000,1777.7778,-23.6435
160.0000,2000.0000,-23.6435
240.0000,0.0000,-20.0173
240.0000,222.2222,-19.5136
240.0000,444.4444,-19.3351
240.0000,666.6667,-19.3751
240.0000,888.8889,-19.5097
240.0000,1111.1111,-19.6326
240.0000,1333.3333,-19.6397
240.0000,1555.5556,-19.4125
240.0000,1777.7778,-18.8492
240.0000,2000.0000,-18.8492
320.0000,0.0000,-15.4282
320.0000,222.2222,-14.9709
320.0000,444.4444,-14.8170
320.0000,666.6667,-14.8627
320.0000,888.8889,-14.9902
320.0000,1111.1111,-15.1068
320.0000,1333.3333,-15.1226
320.0000,1555.5556,-14.9259
320.0000,1777.7778,-14.4183
320.0000,2000.0000,-14.4183
400.0000,0.0000,-11.2468
400.0000,222.2222,-10.8339
400.0000,444.4444,-10.7025
400.0000,666.6667,-10.7522
400.0000,888.8889,-10.8725
400.0000,1111.1111,-10.9829
400.0000,1333.3333,-11.0052
400.0000,1555.5556,-10.8357
400.0000,1777.7778,-10.3804
400.0000,2000.0000,-10.3804
480.0000,0.0000,-7.4803
480.0000,222.2222,-7.1104
480.0000,444.4444,-7.0003
480.0000,666.6667,-7.0534
480.0000,888.8889,-7.1670
480.0000,1111.1111,-7.2712
480.0000,1333.3333,-7.2987
480.0000,1555.5556,-7.1541
480.0000,1777.7778,-6.7478
480.0000,2000.0000,-6.7478
560.0000,0.0000,-4.1331
560.0000,222.2222,-3.8045
560.0000,444.4444,-3.7148
560.0000,666.6667,-3.7703
560.0000,888.8889,-3.8759
560.0000,1111.1111,-3.9723
560.0000,1333.3333,-4.0031
560.0000,1555.5556,-3.8810
560.0000,1777.7778,-3.5203
560.0000,2000.0000,-3.5203
640.0000,0.0000,-1.2025
640.0000,222.2222,-0.9132
640.0000,444.4444,-0.8428
640.0000,666.6667,-0.8984
640.0000,888.8889,-0.9928
640.0000,1111.1111,-1.0780
640.0000,1333.3333,-1.1089
640.0000,1555.5556,-1.0068
640.0000,1777.7778,-0.6883
640.0000,2000.0000,-0.6883
720.0000,0.0000,1.3239
720.0000,222.2222,1.5770
720.0000,444.4444,1.6297
720.0000,666.6667,1.5779
720.0000,888.8889,1.4987
720.0000,1111.1111,1.4287
720.0000,1333.3333,1.4014
720.0000,1555.5556,1.4854
720.0000,1777.7778,1.7656
720.0000,2000.0000,1.7656
800.0000,0.0000,3.4678
800.0000,222.2222,3.6895
800.0000,444.4444,3.7315
800.0000,666.6667,3.6884
800.0000,888.8889,3.6246
800.0000,1111.1111,3.5691
800.0000,1333.3333,3.5483
800.0000,1555.5556,3.6186
800.0000,1777.7778,3.8631
800.0000,2000.0000,3.8631
880.0000,0.0000,5.2575
880.0000,222.2222,5.4525
880.0000,444.4444,5.4877
880.0000,666.6667,5.4538
880.0000,888.8889,5.4058
880.0000,1111.1111,5.3653
880.0000,1333.3333,5.3512
880.0000,1555.5556,5.4110
880.0000,1777.7778,5.6241
880.0000,2000.0000,5.6241
960.0000,0.0000,6.7208
960.0000,222.2222,6.8928
960.0000,444.4444,6.9236
960.0000,666.6667,6.8994
960.0000,888.8889,6.8677
960.0000,1111.1111,6.8426
960.0000,1333.3333,6.8359
960.0000,1555.5556,6.8878
960.0000,1777.7778,7.0738
960.0000,2000.0000,7.0738
1040.0000,0.0000,7.8852
1040.0000,222.2222,8.0369
1040.0000,444.4444,8.0652
1040.0000,666.6667,8.0517
1040.0000,888.8889,8.0369
1040.0000,1111.1111,8.0280
1040.0000,1333.3333,8.0300
1040.0000,1555.5556,8.0766
1040.0000,1777.7778,8.2387
1040.0000,2000.0000,8.2387
1120.0000,0.0000,8.7779
1120.0000,222.2222,8.9110
1120.0000,444.4444,8.9389
1120.0000,666.6667,8.9376
1120.0000,888.8889,8.9403
1120.0000,1111.1111,8.9483
1120.0000,1333.3333,8.9607
1120.0000,1555.5556,9.0042
1120.0000,1777.7778,9.1447
1120.0000,2000.0000,9.1447
1200.0000,0.0000,9.4258
1200.0000,222.2222,9.5418
1200.0000,444.4444,9.5722
1200.0000,666.6667,9.5844
1200.0000,888.8889,9.6038
1200.0000,1111.1111,9.6276
1200.0000,1333.3333,9.6513
1200.0000,1555.5556,9.6946
1200.0000,1777.7778,9.8149
1200.0000,2000.0000,9.8149
1280.0000,0.0000,9.8555
1280.0000,222.2222,9.9595
1280.0000,444.4444,9.9976
1280.0000,666.6667,10.0219
1280.0000,888.8889,10.0523
1280.0000,1111.1111,10.0860
1280.0000,1333.3333,10.1188
1280.0000,1555.5556,10.1650
1280.0000,1777.7778,10.2686
1280.0000,2000.0000,10.2686
1360.0000,0.0000,10.0919
1360.0000,222.2222,10.1863
1360.0000,444.4444,10.2289
1360.0000,666.6667,10.2625
1360.0000,888.8889,10.3020
1360.0000,1111.1111,10.3438
1360.0000,1333.3333,10.3828
1360.0000,1555.5556,10.4291
1360.0000,1777.7778,10.5185
1360.0000,2000.0000,10.5185
1440.0000,0.0000,10.1528
1440.0000,222.2222,10.2383
1440.0000,444.4444,10.2822
1440.0000,666.6667,10.3220
1440.0000,888.8889,10.3685
1440.0000,1111.1111,10.4164
1440.0000,1333.3333,10.4590
1440.0000,1555.5556,10.5029
1440.0000,1777.7778,10.5794
1440.0000,2000.0000,10.5794
1520.0000,0.0000,10.0520
1520.0000,222.2222,10.1290
1520.0000,444.4444,10.1720
1520.0000,666.6667,10.2150
1520.0000,888.8889,10.2661
1520.0000,1111.1111,10.3178
1520.0000,1333.3333,10.3616
1520.0000,1555.5556,10.4016
1520.0000,1777.7778,10.4663
1520.0000,2000.0000,10.4663
1600.0000,0.0000,9.8017
1600.0000,222.2222,9.8706
1600.0000,444.4444,9.9110
1600.0000,666.6667,9.9549
1600.0000,888.8889,10.0079
1600.0000,1111.1111,10.0609
1600.0000,1333.3333,10.1040
1600.0000,1555.5556,10.1393
1600.0000,1777.7778,10.1931
1600.0000,2000.0000,10.1931
1680.0000,0.0000,9.4126
1680.0000,222.2222,9.4738
1680.0000,444.4444,9.5109
1680.0000,666.6667,9.5536
1680.0000,888.8889,9.6060
1680.0000,1111.1111,9.6580
1680.0000,1333.3333,9.6987
1680.0000,1555.5556,9.7289
1680.0000,1777.7778,9.7730
1680.0000,2000.0000,9.7730
1760.0000,0.0000,8.8945
1760.0000,222.2222,8.9490
1760.0000,444.4444,8.9824
1760.0000,666.6667,9.0222
1760.0000,888.8889,9.0715
1760.0000,1111.1111,9.1201
1760.0000,1333.3333,9.1569
1760.0000,1555.5556,9.1822
1760.0000,1777.7778,9.2183
1760.0000,2000.0000,9.2183
1840.0000,0.0000,8.2563
1840.0000,222.2222,8.3056
1840.0000,444.4444,8.3358
