y,0,1,2,3,4,5,6,7,8
40.0,1508.7676,1508.6499,1508.3439,1507.8767,1507.2902,1506.7057,1506.2433,1505.9454,1505.8389
120.0,1508.8291,1508.7147,1508.3972,1507.9074,1507.3045,1506.7019,1506.2139,1505.9025,1505.7996
200.0,1508.8789,1508.7634,1508.4385,1507.918,1507.34,1506.7586,1506.2353,1505.9134,1505.8078
280.0,1508.9177,1508.7975,1508.4632,1507.9253,1507.3924,1506.8528,1506.3075,1505.9725,1505.8599
360.0,1508.9504,1508.8268,1508.4894,1507.9555,1507.4584,1506.9524,1506.4073,1506.0656,1505.9471
440.0,1508.9827,1508.8582,1508.5237,1508.0034,1507.5357,1507.058,1506.5234,1506.1814,1506.0594
520.0,1509.0179,1508.8937,1508.5645,1508.0619,1507.6227,1507.1722,1506.6526,1506.3128,1506.1886
600.0,1509.0569,1508.9328,1508.6066,1508.1247,1507.7175,1507.2979,1506.796,1506.456,1506.3295
680.0,1509.0987,1508.974,1508.6419,1508.1859,1507.8182,1507.4373,1506.9577,1506.6081,1506.4787
760.0,1509.1394,1509.0161,1508.6613,1508.244,1507.9228,1507.5879,1507.1425,1506.7665,1506.6366
840.0,1509.1679,1509.0412,1508.6791,1508.3164,1508.028,1507.7268,1507.3335,1506.9469,1506.8113
920.0,1509.1877,1509.0608,1508.7083,1508.386,1508.1333,1507.8681,1507.5136,1507.1338,1506.996
1000.0,1509.2022,1509.0777,1508.7414,1508.4533,1508.2374,1508.0086,1507.6869,1507.321,1507.1835
1080.0,1509.2129,1509.0891,1508.7719,1508.5179,1508.3388,1508.1465,1507.8575,1507.5082,1507.3694
1160.0,1509.2203,1509.0888,1508.7952,1508.5798,1508.4361,1508.2787,1508.0273,1507.6987,1507.5501
1240.0,1509.2253,1509.07,1508.813,1508.6433,1508.5274,1508.3978,1508.1926,1507.8972,1507.7225
1320.0,1509.2164,1509.0505,1508.8487,1508.7138,1508.6103,1508.4937,1508.326,1508.0848,1507.8974
1400.0,1509.2085,1509.0464,1508.8802,1508.7737,1508.6854,1508.5847,1508.447,1508.2415,1508.057
1480.0,1509.2059,1509.051,1508.9076,1508.8234,1508.7521,1508.669,1508.5548,1508.3724,1508.1947
1560.0,1509.2073,1509.0592,1508.9315,1508.8649,1508.8098,1508.7432,1508.6473,1508.4812,1508.3101
1640.0,1509.2102,1509.0681,1508.9523,1508.8993,1508.8577,1508.8049,1508.7234,1508.5699,1508.4049
1720.0,1509.2116,1509.0758,1508.9699,1508.927,1508.8951,1508.8525,1508.7821,1508.6396,1508.4813
1800.0,1509.2082,1509.0812,1508.9849,1508.9483,1508.9216,1508.8845,1508.8221,1508.6909,1508.5423
1880.0,1509.1952,1509.0847,1508.9988,1508.9636,1508.9365,1508.8999,1508.841,1508.7234,1508.5929
1960.0,1509.1647,1509.088,1509.0138,1508.9724,1508.9396,1508.8986,1508.8363,1508.7355,1508.6414
