y,0,1,2,3,4,5,6,7,8
0.0,1540.2511,1540.6604,1540.1082,1539.0329,1537.7036,1536.0689,1534.0315,1531.9202,1530.854
80.0,1538.511,1538.73,1538.0864,1537.1827,1536.2989,1535.3179,1533.974,1532.1014,1530.6346
160.0,1534.2894,1534.1825,1533.4819,1533.004,1532.7602,1532.5886,1532.2082,1531.0653,1529.7
240.0,1528.7664,1528.3369,1527.6625,1527.6226,1527.9241,1528.4682,1528.9129,1528.4254,1527.4086
320.0,1523.1678,1522.4535,1521.7945,1522.0347,1522.7328,1523.7618,1524.7521,1524.802,1524.0971
400.0,1518.5385,1517.8846,1517.2933,1517.6516,1518.5045,1519.6999,1520.8694,1521.2199,1520.6171
480.0,1514.6456,1514.0634,1513.5282,1513.9135,1514.7612,1515.9174,1517.0602,1517.5835,1517.1797
560.0,1511.3061,1510.7435,1510.2382,1510.5911,1511.3382,1512.3392,1513.3314,1513.8371,1513.6529
640.0,1508.4837,1507.8968,1507.4321,1507.7066,1508.2818,1509.0505,1509.821,1510.2711,1510.2116
720.0,1506.2728,1505.7188,1505.3752,1505.4852,1505.7714,1506.2036,1506.6167,1506.8674,1506.9128
800.0,1504.5105,1504.012,1503.8002,1503.7293,1503.7365,1503.8549,1503.9393,1503.959,1504.0194
880.0,1503.0716,1502.6208,1502.4634,1502.2738,1502.0565,1501.8967,1501.6967,1501.5329,1501.6103
960.0,1501.8716,1501.4536,1501.3271,1501.0622,1500.668,1500.2571,1499.7815,1499.4347,1499.611
1040.0,1500.8851,1500.5318,1500.4513,1500.1363,1499.5721,1498.893,1498.0999,1497.5154,1497.9681
1120.0,1500.0208,1499.7555,1499.7717,1499.4968,1498.8635,1498.0379,1497.0763,1496.4352,1497.0478
1200.0,1499.2991,1499.1596,1499.303,1499.1599,1498.5586,1497.7125,1496.6856,1496.0087,1496.5401
1280.0,1498.9202,1498.8949,1499.0772,1499.0761,1498.5643,1497.7471,1496.7122,1496.0405,1496.338
1360.0,1498.8916,1498.9583,1499.1916,1499.2685,1498.7794,1497.9158,1496.7701,1495.9692,1496.1581
1440.0,1499.069,1499.1821,1499.4664,1499.6012,1499.1342,1498.2393,1497.0186,1496.167,1496.295
1520.0,1499.3974,1499.5186,1499.8476,1500.0442,1499.6255,1498.7508,1497.5108,1496.6947,1496.6824
1600.0,1499.9197,1500.0296,1500.3934,1500.6408,1500.2725,1499.4679,1498.3213,1497.477,1497.1161
1680.0,1500.7527,1500.9416,1501.3062,1501.5117,1501.0681,1500.17,1498.8869,1497.7788,1497.2023
1760.0,1501.5914,1501.8312,1502.1635,1502.2826,1501.7259,1500.6932,1499.247,1497.936,1497.2485
1840.0,1502.2087,1502.4533,1502.7193,1502.734,1502.0905,1500.9748,1499.4651,1498.0936,1497.3874
1920.0,1502.482,1502.6821,1502.8517,1502.7503,1502.0942,1500.9887,1499.5764,1498.3122,1497.676
2000,1502.482,1502.6821,1502.8517,1502.7503,1502.0942,1500.9887,1499.5764,1498.3122,1497.676
