y,x,val
0.0000,0.0000,-2.1815
0.0000,222.2222,-1.2602
0.0000,444.4444,-1.5273
0.0000,666.6667,-2.4198
0.0000,888.8889,-3.4905
0.0000,1111.1111,-4.6706
0.0000,1333.3333,-5.9799
0.0000,1555.5556,-7.1509
0.0000,1777.7778,-7.6775
0.0000,2000.0000,-7.6775
80.0000,0.0000,1.6902
80.0000,222.2222,2.3480
80.0000,444.4444,1.9052
80.0000,666.6667,1.1397
80.0000,888.8889,0.3505
80.0000,1111.1111,-0.5389
80.0000,1333.3333,-1.6879
80.0000,1555.5556,-2.8696
80.0000,1777.7778,-3.4748
80.0000,2000.0000,-3.4748
160.0000,0.0000,2.7658
160.0000,222.2222,3.0392
160.0000,444.4444,2.5219
160.0000,666.6667,2.0452
160.0000,888.8889,1.6271
160.0000,1111.1111,1.1676
160.0000,1333.3333,0.3877
160.0000,1555.5556,-0.5749
160.0000,1777.7778,-1.0547
160.0000,2000.0000,-1.0547
240.0000,0.0000,2.2562
240.0000,222.2222,2.1551
240.0000,444.4444,1.5755
240.0000,666.6667,1.3216
240.0000,888.8889,1.2422
240.0000,1111.1111,1.1669
240.0000,1333.3333,0.7918
240.0000,1555.5556,0.1590
240.0000,1777.7778,-0.0769
240.0000,2000.0000,-0.0769
320.0000,0.0000,1.2996
320.0000,222.2222,0.8828
320.0000,444.4444,0.2441
320.0000,666.6667,0.1336
320.0000,888.8889,0.3036
320.0000,1111.1111,0.5185
320.0000,1333.3333,0.4483
320.0000,1555.5556,0.0906
320.0000,1777.7778,0.0821
320.0000,2000.0000,0.0821
400.0000,0.0000,0.8189
400.0000,222.2222,0.3959
400.0000,444.4444,-0.2179
400.0000,666.6667,-0.2454
400.0000,888.8889,0.0459
400.0000,1111.1111,0.3855
400.0000,1333.3333,0.4273
400.0000,1555.5556,0.1627
400.0000,1777.7778,0.1536
400.0000,2000.0000,0.1536
480.0000,0.0000,0.6597
480.0000,222.2222,0.2853
480.0000,444.4444,-0.2710
480.0000,666.6667,-0.2379
480.0000,888.8889,0.1064
480.0000,1111.1111,0.4770
480.0000,1333.3333,0.5296
480.0000,1555.5556,0.2950
480.0000,1777.7778,0.2604
480.0000,2000.0000,0.2604
560.0000,0.0000,0.6234
560.0000,222.2222,0.2926
560.0000,444.4444,-0.1939
560.0000,666.6667,-0.1055
560.0000,888.8889,0.2665
560.0000,1111.1111,0.6372
560.0000,1333.3333,0.6877
560.0000,1555.5556,0.4654
560.0000,1777.7778,0.4084
560.0000,2000.0000,0.4084
640.0000,0.0000,0.5528
640.0000,222.2222,0.2409
640.0000,444.4444,-0.1511
640.0000,666.6667,-0.0015
640.0000,888.8889,0.3916
640.0000,1111.1111,0.7500
640.0000,1333.3333,0.8124
640.0000,1555.5556,0.6250
640.0000,1777.7778,0.5578
640.0000,2000.0000,0.5578
720.0000,0.0000,0.3518
720.0000,222.2222,0.0220
720.0000,444.4444,-0.2103
720.0000,666.6667,-0.0019
720.0000,888.8889,0.4032
720.0000,1111.1111,0.7274
720.0000,1333.3333,0.8265
720.0000,1555.5556,0.7357
720.0000,1777.7778,0.6692
720.0000,2000.0000,0.6692
800.0000,0.0000,0.0633
800.0000,222.2222,-0.2627
800.0000,444.4444,-0.3529
800.0000,666.6667,-0.1516
800.0000,888.8889,0.2129
800.0000,1111.1111,0.4885
800.0000,1333.3333,0.6369
800.0000,1555.5556,0.6856
800.0000,1777.7778,0.6857
800.0000,2000.0000,0.6857
880.0000,0.0000,-0.2531
880.0000,222.2222,-0.5951
880.0000,444.4444,-0.6288
880.0000,666.6667,-0.4339
880.0000,888.8889,-0.1022
880.0000,1111.1111,0.1567
880.0000,1333.3333,0.3645
880.0000,1555.5556,0.5441
880.0000,1777.7778,0.6540
880.0000,2000.0000,0.6540
960.0000,0.0000,-0.4910
960.0000,222.2222,-0.8577
960.0000,444.4444,-0.8613
960.0000,666.6667,-0.6653
960.0000,888.8889,-0.3543
960.0000,1111.1111,-0.1005
960.0000,1333.3333,0.1492
960.0000,1555.5556,0.4149
960.0000,1777.7778,0.6409
960.0000,2000.0000,0.6409
1040.0000,0.0000,-0.5139
1040.0000,222.2222,-0.7958
1040.0000,444.4444,-0.7212
1040.0000,666.6667,-0.4997
1040.0000,888.8889,-0.2181
1040.0000,1111.1111,0.0043
1040.0000,1333.3333,0.2520
1040.0000,1555.5556,0.5411
1040.0000,1777.7778,0.7867
1040.0000,2000.0000,0.7867
1120.0000,0.0000,-0.5115
1120.0000,222.2222,-0.6896
1120.0000,444.4444,-0.5144
1120.0000,666.6667,-0.2473
1120.0000,888.8889,-0.0087
1120.0000,1111.1111,0.1683
1120.0000,1333.3333,0.4065
1120.0000,1555.5556,0.7188
1120.0000,1777.7778,0.9743
1120.0000,2000.0000,0.9743
1200.0000,0.0000,-0.5683
1200.0000,222.2222,-0.6349
1200.0000,444.4444,-0.3773
1200.0000,666.6667,-0.0642
1200.0000,888.8889,0.0890
1200.0000,1111.1111,0.2070
1200.0000,1333.3333,0.4368
1200.0000,1555.5556,0.7809
1200.0000,1777.7778,1.0754
1200.0000,2000.0000,1.0754
1280.0000,0.0000,-0.5707
1280.0000,222.2222,-0.5634
1280.0000,444.4444,-0.3409
1280.0000,666.6667,-0.0550
1280.0000,888.8889,0.0043
1280.0000,1111.1111,0.0788
1280.0000,1333.3333,0.2974
1280.0000,1555.5556,0.6541
1280.0000,1777.7778,1.0065
1280.0000,2000.0000,1.0065
1360.0000,0.0000,-0.5260
1360.0000,222.2222,-0.4794
1360.0000,444.4444,-0.2887
1360.0000,666.6667,-0.0512
1360.0000,888.8889,-0.0694
1360.0000,1111.1111,-0.0485
1360.0000,1333.3333,0.1428
1360.0000,1555.5556,0.4922
1360.0000,1777.7778,0.8551
1360.0000,2000.0000,0.8551
1440.0000,0.0000,-0.5318
1440.0000,222.2222,-0.5063
1440.0000,444.4444,-0.3616
1440.0000,666.6667,-0.1784
1440.0000,888.8889,-0.2559
1440.0000,1111.1111,-0.2762
1440.0000,1333.3333,-0.1012
1440.0000,1555.5556,0.2552
1440.0000,1777.7778,0.6340
1440.0000,2000.0000,0.6340
1520.0000,0.0000,-0.5537
1520.0000,222.2222,-0.5977
1520.0000,444.4444,-0.5132
1520.0000,666.6667,-0.3831
1520.0000,888.8889,-0.5062
1520.0000,1111.1111,-0.5545
1520.0000,1333.3333,-0.3849
1520.0000,1555.5556,-0.0093
1520.0000,1777.7778,0.3932
1520.0000,2000.0000,0.3932
1600.0000,0.0000,-0.4317
1600.0000,222.2222,-0.5496
1600.0000,444.4444,-0.5133
1600.0000,666.6667,-0.4264
1600.0000,888.8889,-0.5922
1600.0000,1111.1111,-0.6734
1600.0000,1333.3333,-0.5185
1600.0000,1555.5556,-0.1517
1600.0000,1777.7778,0.2448
1600.0000,2000.0000,0.2448
1680.0000,0.0000,0.0517
1680.0000,222.2222,0.0358
1680.0000,444.4444,0.0893
1680.0000,666.6667,0.1438
1680.0000,888.8889,-0.0863
1680.0000,1111.1111,-0.2543
1680.0000,1333.3333,-0.1988
1680.0000,1555.5556,0.0476
1680.0000,1777.7778,0.3104
1680.0000,2000.0000,0.3104
1760.0000,0.0000,0.5073
1760.0000,222.2222,0.5934
1760.0000,444.4444,0.6773
1760.0000,666.6667,0.7096
1760.0000,888.8889,0.4280
1760.0000,1111.1111,0.1778
1760.0000,1333.3333,0.1222
1760.0000,1555.5556,0.2346
1760.0000,1777.7778,0.3629
1760.0000,2000.0000,0.3629
1840.0000,0.0000,0.6071
1840.0000,222.2222,0.7548
1840.0000,444.4444,0.8518
1840.0000,666.6667,0.8617
1840.0000,888.8889,0.5638
1840.0000,1111.1111,0.2714
1840.0000,1333.3333,0.1367
1840.0000,1555.5556,0.1448
1840.0000,1777.7778,0.1726
1840.0000,2000.0000,0.1726
1920.0000,0.0000,0.1510
1920.0000,222.2222,0.3075
1920.0000,444.4444,0.3894
1920.0000,666.6667,0.3598
1920.0000,888.8889,0.1042
1920.0000,1111.1111,-0.1709
1920.0000,1333.3333,-0.3365
1920.0000,1555.5556,-0.3904
1920.0000,1777.7778,-0.4189
1920.0000,2000.0000,-0.4189
2000.0000,0.0000,0.1510
2000.0000,222.2222,0.3075
2000.0000,444.4444,0.3894
2000.0000,666.6667,0.3598
2000.0000,888.8889,0.1042
2000.0000,1111.1111,-0.1709
2000.0000,1333.3333,-0.3365
2000.0000,1555.5556,-0.3904
2000.0000,1777.7778,-0.4189
2000.0000,2000.0000,-0.4189
