y,x,val
0.0000,0.0000,1539.8446
0.0000,222.2222,1540.3657
0.0000,444.4444,1540.1532
0.0000,666.6667,1539.4134
0.0000,888.8889,1538.3288
0.0000,1111.1111,1536.9949
0.0000,1333.3333,1535.4602
0.0000,1555.5556,1533.9868
0.0000,1777.7778,1532.9588
0.0000,2000.0000,1532.9588
80.0000,0.0000,1538.2577
80.0000,222.2222,1538.6459
80.0000,444.4444,1538.3548
80.0000,666.6667,1537.6599
80.0000,888.8889,1536.7038
80.0000,1111.1111,1535.5573
80.0000,1333.3333,1534.1517
80.0000,1555.5556,1532.7071
80.0000,1777.7778,1531.6565
80.0000,2000.0000,1531.6565
160.0000,0.0000,1534.5069
160.0000,222.2222,1534.6050
160.0000,444.4444,1534.2094
160.0000,666.6667,1533.6070
160.0000,888.8889,1532.8439
160.0000,1111.1111,1531.9806
160.0000,1333.3333,1530.8813
160.0000,1555.5556,1529.6644
160.0000,1777.7778,1528.7927
160.0000,2000.0000,1528.7927
240.0000,0.0000,1529.5758
240.0000,222.2222,1529.3413
240.0000,444.4444,1528.8136
240.0000,666.6667,1528.2715
240.0000,888.8889,1527.6818
240.0000,1111.1111,1527.0722
240.0000,1333.3333,1526.3118
240.0000,1555.5556,1525.4037
240.0000,1777.7778,1524.8167
240.0000,2000.0000,1524.8167
320.0000,0.0000,1524.5083
320.0000,222.2222,1523.9784
320.0000,444.4444,1523.3335
320.0000,666.6667,1522.8186
320.0000,888.8889,1522.3495
320.0000,1111.1111,1521.9260
320.0000,1333.3333,1521.4098
320.0000,1555.5556,1520.7567
320.0000,1777.7778,1520.4354
320.0000,2000.0000,1520.4354
400.0000,0.0000,1520.2324
400.0000,222.2222,1519.7174
400.0000,444.4444,1519.0649
400.0000,666.6667,1518.5639
400.0000,888.8889,1518.1337
400.0000,1111.1111,1517.7667
400.0000,1333.3333,1517.3199
400.0000,1555.5556,1516.7398
400.0000,1777.7778,1516.4400
400.0000,2000.0000,1516.4400
480.0000,0.0000,1516.6101
480.0000,222.2222,1516.1524
480.0000,444.4444,1515.5294
480.0000,666.6667,1515.0416
480.0000,888.8889,1514.6158
480.0000,1111.1111,1514.2451
480.0000,1333.3333,1513.7938
480.0000,1555.5556,1513.2378
480.0000,1777.7778,1512.9369
480.0000,2000.0000,1512.9369
560.0000,0.0000,1513.4716
560.0000,222.2222,1513.0564
560.0000,444.4444,1512.4673
560.0000,666.6667,1511.9957
560.0000,888.8889,1511.5717
560.0000,1111.1111,1511.1926
560.0000,1333.3333,1510.7444
560.0000,1555.5556,1510.2160
560.0000,1777.7778,1509.9299
560.0000,2000.0000,1509.9299
640.0000,0.0000,1510.7032
640.0000,222.2222,1510.3117
640.0000,444.4444,1509.7658
640.0000,666.6667,1509.3217
640.0000,888.8889,1508.9155
640.0000,1111.1111,1508.5407
640.0000,1333.3333,1508.1252
640.0000,1555.5556,1507.6569
640.0000,1777.7778,1507.4029
640.0000,2000.0000,1507.4029
720.0000,0.0000,1508.2517
720.0000,222.2222,1507.8978
720.0000,444.4444,1507.4401
720.0000,666.6667,1507.0410
720.0000,888.8889,1506.6804
720.0000,1111.1111,1506.3155
720.0000,1333.3333,1505.9619
720.0000,1555.5556,1505.6000
720.0000,1777.7778,1505.3493
720.0000,2000.0000,1505.3493
800.0000,0.0000,1506.0309
800.0000,222.2222,1505.6834
800.0000,444.4444,1505.2996
800.0000,666.6667,1504.9338
800.0000,888.8889,1504.6177
800.0000,1111.1111,1504.2823
800.0000,1333.3333,1504.0095
800.0000,1555.5556,1503.7975
800.0000,1777.7778,1503.6164
800.0000,2000.0000,1503.6164
880.0000,0.0000,1504.0670
880.0000,222.2222,1503.6947
880.0000,444.4444,1503.3434
880.0000,666.6667,1503.0135
880.0000,888.8889,1502.7467
880.0000,1111.1111,1502.4734
880.0000,1333.3333,1502.3057
880.0000,1555.5556,1502.2445
880.0000,1777.7778,1502.1819
880.0000,2000.0000,1502.1819
960.0000,0.0000,1502.4765
960.0000,222.2222,1502.0726
960.0000,444.4444,1501.7494
960.0000,666.6667,1501.4622
960.0000,888.8889,1501.2489
960.0000,1111.1111,1501.0451
960.0000,1333.3333,1500.9726
960.0000,1555.5556,1501.0286
960.0000,1777.7778,1501.0926
960.0000,2000.0000,1501.0926
1040.0000,0.0000,1501.4227
1040.0000,222.2222,1501.1116
1040.0000,444.4444,1500.8717
1040.0000,666.6667,1500.6503
1040.0000,888.8889,1500.4821
1040.0000,1111.1111,1500.3231
1040.0000,1333.3333,1500.3005
1040.0000,1555.5556,1500.4041
1040.0000,1777.7778,1500.4823
1040.0000,2000.0000,1500.4823
1120.0000,0.0000,1500.6598
1120.0000,222.2222,1500.4357
1120.0000,444.4444,1500.2886
1120.0000,666.6667,1500.1498
1120.0000,888.8889,1500.0206
1120.0000,1111.1111,1499.9021
1120.0000,1333.3333,1499.9219
1120.0000,1555.5556,1500.0719
1120.0000,1777.7778,1500.1657
1120.0000,2000.0000,1500.1657
1200.0000,0.0000,1500.0347
1200.0000,222.2222,1499.8595
1200.0000,444.4444,1499.7820
1200.0000,666.6667,1499.7331
1200.0000,888.8889,1499.6205
1200.0000,1111.1111,1499.5476
1200.0000,1333.3333,1499.6114
1200.0000,1555.5556,1499.8221
1200.0000,1777.7778,1499.9757
1200.0000,2000.0000,1499.9757
1280.0000,0.0000,1499.5522
1280.0000,222.2222,1499.3773
1280.0000,444.4444,1499.3045
1280.0000,666.6667,1499.3069
1280.0000,888.8889,1499.2074
1280.0000,1111.1111,1499.1931
1280.0000,1333.3333,1499.3085
1280.0000,1555.5556,1499.5686
1280.0000,1777.7778,1499.8108
1280.0000,2000.0000,1499.8108
1360.0000,0.0000,1499.2944
1360.0000,222.2222,1499.1482
1360.0000,444.4444,1499.0882
