y,0,1,2,3,4,5,6,7,8
40.0,1539.7477,1540.274,1540.1283,1539.4498,1538.4336,1537.2174,1535.9055,1534.6457,1533.6872
120.0,1538.267,1538.6983,1538.4935,1537.8137,1536.8602,1535.7513,1534.5406,1533.3296,1532.3658
200.0,1534.7697,1534.9588,1534.6588,1534.0119,1533.1825,1532.2577,1531.2488,1530.2297,1529.4444
280.0,1530.0923,1530.0141,1529.6061,1528.9913,1528.2891,1527.5493,1526.7655,1525.9731,1525.4401
360.0,1525.0802,1524.775,1524.2892,1523.7141,1523.1346,1522.5664,1521.9809,1521.3831,1521.072
440.0,1520.4757,1520.1406,1519.6715,1519.1723,1518.7207,1518.3119,1517.8949,1517.4329,1517.1369
520.0,1516.3779,1516.0559,1515.6362,1515.2221,1514.8846,1514.6023,1514.3064,1513.9632,1513.699
600.0,1512.8047,1512.5003,1512.1307,1511.793,1511.5508,1511.3722,1511.1822,1510.945,1510.7431
680.0,1509.7572,1509.4697,1509.1444,1508.8689,1508.702,1508.6034,1508.4992,1508.3439,1508.2127
760.0,1507.2291,1506.981,1506.7081,1506.4833,1506.372,1506.3288,1506.2952,1506.2134,1506.1115
840.0,1505.1334,1504.9132,1504.6837,1504.498,1504.4185,1504.4057,1504.4223,1504.4084,1504.3459
920.0,1503.4162,1503.21,1503.0048,1502.8408,1502.7762,1502.7784,1502.8248,1502.8634,1502.8567
1000.0,1502.0558,1501.8545,1501.6612,1501.503,1501.4347,1501.4295,1501.4721,1501.522,1501.5799
1080.0,1501.0552,1500.8789,1500.698,1500.5344,1500.4402,1500.4,1500.4083,1500.4401,1500.5451
1160.0,1500.3365,1500.1792,1500.0094,1499.8422,1499.7168,1499.6375,1499.6138,1499.6403,1499.7728
1240.0,1499.8499,1499.7004,1499.5395,1499.3775,1499.2185,1499.1021,1499.0473,1499.0665,1499.2077
1320.0,1499.5837,1499.4323,1499.2714,1499.1111,1498.9258,1498.7761,1498.6864,1498.6896,1498.8268
1400.0,1499.5576,1499.426,1499.27,1499.1033,1498.8887,1498.696,1498.5575,1498.5223,1498.6562
1480.0,1499.708,1499.5925,1499.4453,1499.278,1499.0486,1498.8319,1498.6682,1498.6231,1498.7554
1560.0,1499.992,1499.8871,1499.7543,1499.5996,1499.3763,1499.1626,1499.0004,1498.9722,1499.0892
1640.0,1500.3929,1500.3005,1500.1926,1500.065,1499.8647,1499.6776,1499.5429,1499.5293,1499.5955
1720.0,1500.9086,1500.8686,1500.8005,1500.7066,1500.529,1500.3567,1500.2145,1500.159,1500.1582
1800.0,1501.3978,1501.4047,1501.3733,1501.3073,1501.1483,1500.9817,1500.8232,1500.7255,1500.6719
1880.0,1501.7432,1501.7794,1501.7704,1501.7201,1501.5765,1501.4147,1501.2475,1501.1241,1501.0385
1960.0,1501.8715,1501.9138,1501.9099,1501.8581,1501.7314,1501.5776,1501.4173,1501.2879,1501.1936
