y,x,val
0.0000,0.0000,-4.9509
0.0000,222.2222,-3.5864
0.0000,444.4444,-3.0663
0.0000,666.6667,-3.1462
0.0000,888.8889,-3.5749
0.0000,1111.1111,-4.2100
0.0000,1333.3333,-4.9506
0.0000,1555.5556,-5.5493
0.0000,1777.7778,-5.6770
0.0000,2000.0000,-5.6770
80.0000,0.0000,-0.9387
80.0000,222.2222,0.2428
80.0000,444.4444,0.6450
80.0000,666.6667,0.5854
80.0000,888.8889,0.2582
80.0000,1111.1111,-0.2332
80.0000,1333.3333,-0.8750
80.0000,1555.5556,-1.4562
80.0000,1777.7778,-1.6331
80.0000,2000.0000,-1.6331
160.0000,0.0000,0.5132
160.0000,222.2222,1.3447
160.0000,444.4444,1.6183
160.0000,666.6667,1.6487
160.0000,888.8889,1.4973
160.0000,1111.1111,1.2571
160.0000,1333.3333,0.8805
160.0000,1555.5556,0.5032
160.0000,1777.7778,0.4725
160.0000,2000.0000,0.4725
240.0000,0.0000,0.4167
240.0000,222.2222,0.8639
240.0000,444.4444,0.9835
240.0000,666.6667,1.0715
240.0000,888.8889,1.0843
240.0000,1111.1111,1.0761
240.0000,1333.3333,0.9894
240.0000,1555.5556,0.8763
240.0000,1777.7778,1.0818
240.0000,2000.0000,1.0818
320.0000,0.0000,-0.1964
320.0000,222.2222,-0.0903
320.0000,444.4444,-0.1091
320.0000,666.6667,-0.0038
320.0000,888.8889,0.1146
320.0000,1111.1111,0.2646
320.0000,1333.3333,0.3736
320.0000,1555.5556,0.4634
320.0000,1777.7778,0.8764
320.0000,2000.0000,0.8764
400.0000,0.0000,-0.4223
400.0000,222.2222,-0.3637
400.0000,444.4444,-0.4250
400.0000,666.6667,-0.3270
400.0000,888.8889,-0.1930
400.0000,1111.1111,-0.0221
400.0000,1333.3333,0.1041
400.0000,1555.5556,0.2092
400.0000,1777.7778,0.6031
400.0000,2000.0000,0.6031
480.0000,0.0000,-0.3705
480.0000,222.2222,-0.3091
480.0000,444.4444,-0.3783
480.0000,666.6667,-0.2946
480.0000,888.8889,-0.1862
480.0000,1111.1111,-0.0590
480.0000,1333.3333,0.0097
480.0000,1555.5556,0.0691
480.0000,1777.7778,0.4032
480.0000,2000.0000,0.4032
560.0000,0.0000,-0.2009
560.0000,222.2222,-0.1414
560.0000,444.4444,-0.2116
560.0000,666.6667,-0.1413
560.0000,888.8889,-0.0666
560.0000,1111.1111,0.0030
560.0000,1333.3333,0.0082
560.0000,1555.5556,0.0150
560.0000,1777.7778,0.2918
560.0000,2000.0000,0.2918
640.0000,0.0000,-0.0379
640.0000,222.2222,0.0032
640.0000,444.4444,-0.0603
640.0000,666.6667,0.0067
640.0000,888.8889,0.0593
640.0000,1111.1111,0.0759
640.0000,1333.3333,0.0338
640.0000,1555.5556,0.0067
640.0000,1777.7778,0.2391
640.0000,2000.0000,0.2391
720.0000,0.0000,0.0467
720.0000,222.2222,0.0587
720.0000,444.4444,0.0268
720.0000,666.6667,0.1026
720.0000,888.8889,0.1589
720.0000,1111.1111,0.1265
720.0000,1333.3333,0.0598
720.0000,1555.5556,0.0340
720.0000,1777.7778,0.2178
720.0000,2000.0000,0.2178
800.0000,0.0000,0.0319
800.0000,222.2222,0.0114
800.0000,444.4444,-0.0038
800.0000,666.6667,0.0483
800.0000,888.8889,0.0992
800.0000,1111.1111,0.0371
800.0000,1333.3333,-0.0332
800.0000,1555.5556,-0.0244
800.0000,1777.7778,0.1549
800.0000,2000.0000,0.1549
880.0000,0.0000,-0.0489
880.0000,222.2222,-0.1182
880.0000,444.4444,-0.1465
880.0000,666.6667,-0.1127
880.0000,888.8889,-0.0689
880.0000,1111.1111,-0.1369
880.0000,1333.3333,-0.1911
880.0000,1555.5556,-0.1403
880.0000,1777.7778,0.0658
880.0000,2000.0000,0.0658
960.0000,0.0000,-0.1047
960.0000,222.2222,-0.2251
960.0000,444.4444,-0.2680
960.0000,666.6667,-0.2423
960.0000,888.8889,-0.2005
960.0000,1111.1111,-0.2661
960.0000,1333.3333,-0.3070
960.0000,1555.5556,-0.2311
960.0000,1777.7778,0.0091
960.0000,2000.0000,0.0091
1040.0000,0.0000,-0.0152
1040.0000,222.2222,-0.1032
1040.0000,444.4444,-0.1230
1040.0000,666.6667,-0.0871
1040.0000,888.8889,-0.0472
1040.0000,1111.1111,-0.1199
1040.0000,1333.3333,-0.1744
1040.0000,1555.5556,-0.1172
1040.0000,1777.7778,0.0894
1040.0000,2000.0000,0.0894
1120.0000,0.0000,0.0827
1120.0000,222.2222,0.0322
1120.0000,444.4444,0.0472
1120.0000,666.6667,0.1042
1120.0000,888.8889,0.1430
1120.0000,1111.1111,0.0694
1120.0000,1333.3333,-0.0010
1120.0000,1555.5556,0.0381
1120.0000,1777.7778,0.2123
1120.0000,2000.0000,0.2123
1200.0000,0.0000,0.1153
1200.0000,222.2222,0.0916
1200.0000,444.4444,0.1284
1200.0000,666.6667,0.2031
1200.0000,888.8889,0.2283
1200.0000,1111.1111,0.1688
1200.0000,1333.3333,0.0850
1200.0000,1555.5556,0.1175
1200.0000,1777.7778,0.2869
1200.0000,2000.0000,0.2869
1280.0000,0.0000,0.1188
1280.0000,222.2222,0.0981
1280.0000,444.4444,0.1097
1280.0000,666.6667,0.1672
1280.0000,888.8889,0.1617
1280.0000,1111.1111,0.1249
1280.0000,1333.3333,0.0452
1280.0000,1555.5556,0.0769
1280.0000,1777.7778,0.2644
1280.0000,2000.0000,0.2644
1360.0000,0.0000,0.1269
1360.0000,222.2222,0.1144
1360.0000,444.4444,0.1072
1360.0000,666.6667,0.1441
1360.0000,888.8889,0.1189
1360.0000,1111.1111,0.0896
1360.0000,1333.3333,0.0135
1360.0000,1555.5556,0.0401
1360.0000,1777.7778,0.2170
1360.0000,2000.0000,0.2170
1440.0000,0.0000,0.0817
1440.0000,222.2222,0.0489
1440.0000,444.4444,0.0180
1440.0000,666.6667,0.0373
1440.0000,888.8889,0.0049
1440.0000,1111.1111,-0.0137
1440.0000,1333.3333,-0.0740
1440.0000,1555.5556,-0.0340
1440.0000,1777.7778,0.1444
1440.0000,2000.0000,0.1444
1520.0000,0.0000,0.0079
1520.0000,222.2222,-0.0727
1520.0000,444.4444,-0.1335
1520.0000,666.6667,-0.1278
1520.0000,888.8889,-0.1584
1520.0000,1111.1111,-0.1598
1520.0000,1333.3333,-0.1935
1520.0000,1555.5556,-0.1242
1520.0000,1777.7778,0.0698
1520.0000,2000.0000,0.0698
1600.0000,0.0000,0.0137
1600.0000,222.2222,-0.1151
1600.0000,444.4444,-0.1957
1600.0000,666.6667,-0.1971
1600.0000,888.8889,-0.2259
1600.0000,1111.1111,-0.2163
1600.0000,1333.3333,-0.2297
1600.0000,1555.5556,-0.1430
1600.0000,1777.7778,0.0552
1600.0000,2000.0000,0.0552
1680.0000,0.0000,0.2453
1680.0000,222.2222,0.1934
1680.0000,444.4444,0.1386
1680.0000,666.6667,0.1340
1680.0000,888.8889,0.0861
1680.0000,1111.1111,0.0661
1680.0000,1333.3333,0.0160
1680.0000,1555.5556,0.0474
1680.0000,1777.7778,0.1601
1680.0000,2000.0000,0.1601
1760.0000,0.0000,0.4218
1760.0000,222.2222,0.4480
1760.0000,444.4444,0.4290
1760.0000,666.6667,0.4252
1760.0000,888.8889,0.3560
1760.0000,1111.1111,0.2980
1760.0000,1333.3333,0.1981
1760.0000,1555.5556,0.1619
1760.0000,1777.7778,0.1874
1760.0000,2000.0000,0.1874
1840.0000,0.0000,0.3054
1840.0000,222.2222,0.3837
1840.0000,444.4444,0.3906
1840.0000,666.6667,0.3843
1840.0000,888.8889,0.3006
1840.0000,1111.1111,0.2129
1840.0000,1333.3333,0.0790
1840.0000,1555.5556,-0.0061
1840.0000,1777.7778,-0.0424
