y,x,val
0.0000,0.0000,1539.9206
0.0000,222.2222,1540.4153
0.0000,444.4444,1540.1700
0.0000,666.6667,1539.3756
0.0000,888.8889,1538.2123
0.0000,1111.1111,1536.7786
0.0000,1333.3333,1535.1833
0.0000,1555.5556,1533.6272
0.0000,1777.7778,1532.5125
0.0000,2000.0000,1532.5125
80.0000,0.0000,1538.4013
80.0000,222.2222,1538.7793
80.0000,444.4444,1538.4470
80.0000,666.6667,1537.6521
80.0000,888.8889,1536.5698
80.0000,1111.1111,1535.2790
80.0000,1333.3333,1533.8390
80.0000,1555.5556,1532.3608
80.0000,1777.7778,1531.2053
80.0000,2000.0000,1531.2053
160.0000,0.0000,1534.7797
160.0000,222.2222,1534.8950
160.0000,444.4444,1534.4524
160.0000,666.6667,1533.7025
160.0000,888.8889,1532.7663
160.0000,1111.1111,1531.7162
160.0000,1333.3333,1530.5679
160.0000,1555.5556,1529.3631
160.0000,1777.7778,1528.4127
160.0000,2000.0000,1528.4127
240.0000,0.0000,1529.9450
240.0000,222.2222,1529.7752
240.0000,444.4444,1529.2184
240.0000,666.6667,1528.5131
240.0000,888.8889,1527.7310
240.0000,1111.1111,1526.9190
240.0000,1333.3333,1526.0828
240.0000,1555.5556,1525.1902
240.0000,1777.7778,1524.5474
240.0000,2000.0000,1524.5474
320.0000,0.0000,1524.8032
320.0000,222.2222,1524.3905
320.0000,444.4444,1523.7515
320.0000,666.6667,1523.0939
320.0000,888.8889,1522.4546
320.0000,1111.1111,1521.8527
320.0000,1333.3333,1521.2785
320.0000,1555.5556,1520.6672
320.0000,1777.7778,1520.3001
320.0000,2000.0000,1520.3001
400.0000,0.0000,1520.1456
400.0000,222.2222,1519.7063
400.0000,444.4444,1519.0792
400.0000,666.6667,1518.4904
400.0000,888.8889,1517.9751
400.0000,1111.1111,1517.5355
400.0000,1333.3333,1517.1443
400.0000,1555.5556,1516.7181
400.0000,1777.7778,1516.4247
400.0000,2000.0000,1516.4247
480.0000,0.0000,1516.0438
480.0000,222.2222,1515.6236
480.0000,444.4444,1515.0458
480.0000,666.6667,1514.5356
480.0000,888.8889,1514.1248
480.0000,1111.1111,1513.8053
480.0000,1333.3333,1513.5397
480.0000,1555.5556,1513.2542
480.0000,1777.7778,1513.0217
480.0000,2000.0000,1513.0217
560.0000,0.0000,1512.4948
560.0000,222.2222,1512.0982
560.0000,444.4444,1511.5772
560.0000,666.6667,1511.1409
560.0000,888.8889,1510.8148
560.0000,1111.1111,1510.5860
560.0000,1333.3333,1510.4178
560.0000,1555.5556,1510.2425
560.0000,1777.7778,1510.0843
560.0000,2000.0000,1510.0843
640.0000,0.0000,1509.4883
640.0000,222.2222,1509.1128
640.0000,444.4444,1508.6503
640.0000,666.6667,1508.2747
640.0000,888.8889,1508.0075
640.0000,1111.1111,1507.8340
640.0000,1333.3333,1507.7215
640.0000,1555.5556,1507.6100
640.0000,1777.7778,1507.5258
640.0000,2000.0000,1507.5258
720.0000,0.0000,1507.0202
720.0000,222.2222,1506.6835
720.0000,444.4444,1506.2915
720.0000,666.6667,1505.9536
720.0000,888.8889,1505.7092
720.0000,1111.1111,1505.5467
720.0000,1333.3333,1505.4421
720.0000,1555.5556,1505.3568
720.0000,1777.7778,1505.3142
720.0000,2000.0000,1505.3142
800.0000,0.0000,1505.0115
800.0000,222.2222,1504.7124
800.0000,444.4444,1504.3836
800.0000,666.6667,1504.0664
800.0000,888.8889,1503.8247
800.0000,1111.1111,1503.6512
800.0000,1333.3333,1503.5317
800.0000,1555.5556,1503.4507
800.0000,1777.7778,1503.4268
800.0000,2000.0000,1503.4268
880.0000,0.0000,1503.3965
880.0000,222.2222,1503.1276
880.0000,444.4444,1502.8389
880.0000,666.6667,1502.5365
880.0000,888.8889,1502.2868
880.0000,1111.1111,1502.0875
880.0000,1333.3333,1501.9371
880.0000,1555.5556,1501.8430
880.0000,1777.7778,1501.8329
880.0000,2000.0000,1501.8329
960.0000,0.0000,1502.1257
960.0000,222.2222,1501.8791
960.0000,444.4444,1501.6162
960.0000,666.6667,1501.3212
960.0000,888.8889,1501.0531
960.0000,1111.1111,1500.8124
960.0000,1333.3333,1500.6082
960.0000,1555.5556,1500.4727
960.0000,1777.7778,1500.4821
960.0000,2000.0000,1500.4821
1040.0000,0.0000,1501.1706
1040.0000,222.2222,1500.9492
1040.0000,444.4444,1500.7033
1040.0000,666.6667,1500.4039
1040.0000,888.8889,1500.1015
1040.0000,1111.1111,1499.8002
1040.0000,1333.3333,1499.5206
1040.0000,1555.5556,1499.3245
1040.0000,1777.7778,1499.3768
1040.0000,2000.0000,1499.3768
1120.0000,0.0000,1500.4840
1120.0000,222.2222,1500.2893
1120.0000,444.4444,1500.0639
1120.0000,666.6667,1499.7662
1120.0000,888.8889,1499.4359
1120.0000,1111.1111,1499.0858
1120.0000,1333.3333,1498.7498
1120.0000,1555.5556,1498.5228
1120.0000,1777.7778,1498.5969
1120.0000,2000.0000,1498.5969
1200.0000,0.0000,1500.0344
1200.0000,222.2222,1499.8719
1200.0000,444.4444,1499.6706
1200.0000,666.6667,1499.3863
1200.0000,888.8889,1499.0401
1200.0000,1111.1111,1498.6590
1200.0000,1333.3333,1498.2806
1200.0000,1555.5556,1498.0241
1200.0000,1777.7778,1498.0802
1200.0000,2000.0000,1498.0802
1280.0000,0.0000,1499.8151
1280.0000,222.2222,1499.6833
1280.0000,444.4444,1499.4921
1280.0000,666.6667,1499.2213
1280.0000,888.8889,1498.8699
1280.0000,1111.1111,1498.4691
1280.0000,1333.3333,1498.0591
1280.0000,1555.5556,1497.7757
1280.0000,1777.7778,1497.7881
1280.0000,2000.0000,1497.7881
1360.0000,0.0000,1499.7918
1360.0000,222.2222,1499.6813
1360.0000,444.4444,1499.5000
1360.0000,666.6667,1499.2342
1360.0000,888.8889,1498.8746
1360.0000,1111.1111,1498.4527
1360.0000,1333.3333,1498.0100
1360.0000,1555.5556,1497.6942
1360.0000,1777.7778,1497.6915
1360.0000,2000.0000,1497.6915
1440.0000,0.0000,1499.9299
1440.0000,222.2222,1499.8388
1440.0000,444.4444,1499.6744
1440.0000,666.6667,1499.4219
1440.0000,888.8889,1499.0679
1440.0000,1111.1111,1498.6445
1440.0000,1333.3333,1498.1961
1440.0000,1555.5556,1497.8832
1440.0000,1777.7778,1497.8789
1440.0000,2000.0000,1497.8789
1520.0000,0.0000,1500.1927
1520.0000,222.2222,1500.1251
1520.0000,444.4444,1499.9893
1520.0000,666.6667,1499.7672
1520.0000,888.8889,1499.4417
1520.0000,1111.1111,1499.0469
1520.0000,1333.3333,1498.6236
1520.0000,1555.5556,1498.3508
1520.0000,1777.7778,1498.3364
1520.0000,2000.0000,1498.3364
1600.0000,0.0000,1500.5377
1600.0000,222.2222,1500.4999
1600.0000,444.4444,1500.4064
1600.0000,666.6667,1500.2349
1600.0000,888.8889,1499.9621
1600.0000,1111.1111,1499.6313
1600.0000,1333.3333,1499.2743
1600.0000,1555.5556,1499.0477
1600.0000,1777.7778,1498.9915
1600.0000,2000.0000,1498.9915
1680.0000,0.0000,1500.9150
1680.0000,222.2222,1500.9149
1680.0000,444.4444,1500.8732
1680.0000,666.6667,1500.7685
1680.0000,888.8889,1500.5653
1680.0000,1111.1111,1500.3075
1680.0000,1333.3333,1500.0008
1680.0000,1555.5556,1499.7786
1680.0000,1777.7778,1499.6819
1680.0000,2000.0000,1499.6819
1760.0000,0.0000,1501.2527
1760.0000,222.2222,1501.2851
1760.0000,444.4444,1501.2876
1760.0000,666.6667,1501.2388
1760.0000,888.8889,1501.0963
1760.0000,1111.1111,1500.8965
1760.0000,1333.3333,1500.6283
1760.0000,1555.5556,1500.4097
1760.0000,1777.7778,1500.2849
1760.0000,2000.0000,1500.2849
1840.0000,0.0000,1501.4891
1840.0000,222.2222,1501.5404
1840.0000,444.4444,1501.5685
1840.0000,666.6667,1501.5523
1840.0000,888.8889,1501.4496
1840.0000,1111.1111,1501.2881
1840.0000,1333.3333,1501.0521
1840.0000,1555.5556,1500.8438
1840.0000,1777.7778,1500.7064
1840.0000,2000.0000,1500.7064
1920.0000,0.0000,1501.5844
1920.0000,222.2222,1501.6346
1920.0000,444.4444,1501.6646
1920.0000,666.6667,1501.6518
1920.0000,888.8889,1501.5658
1920.0000,1111.1111,1501.4195
1920.0000,1333.3333,1501.2145
1920.0000,1555.5556,1501.0240
1920.0000,1777.7778,1500.8911
1920.0000,2000.0000,1500.8911
2000.0000,0.0000,1501.5844
2000.0000,222.2222,1501.6346
2000.0000,444.4444,1501.6646
2000.0000,666.6667,1501.6518
2000.0000,888.8889,1501.5658
2000.0000,1111.1111,1501.4195
2000.0000,1333.3333,1501.2145
2000.0000,1555.5556,1501.0240
2000.0000,1777.7778,1500.8911
2000.0000,2000.0000,1500.8911
