y,0,1,2,3,4,5,6,7,8
40.0,-5.4202,-4.0355,-3.4264,-3.3994,-3.7455,-4.3206,-5.0158,-5.5804,-5.6963
120.0,-1.3694,-0.1523,0.3483,0.3796,0.1096,-0.339,-0.9437,-1.4931,-1.6564
200.0,0.1738,1.0501,1.4106,1.4967,1.3731,1.1529,0.8009,0.4473,0.4303
280.0,0.1791,0.6717,0.861,0.9722,0.9816,0.9681,0.8914,0.7934,1.013
360.0,-0.3385,-0.1901,-0.1556,-0.0533,0.0346,0.1562,0.2598,0.3557,0.783
440.0,-0.4756,-0.3741,-0.3937,-0.3178,-0.2358,-0.1119,-0.0054,0.0949,0.4979
520.0,-0.35,-0.2474,-0.285,-0.239,-0.1988,-0.1326,-0.094,-0.0479,0.2907
600.0,-0.1262,-0.029,-0.0788,-0.06,-0.066,-0.0663,-0.0969,-0.1071,0.1725
680.0,0.0732,0.1489,0.0926,0.0951,0.0586,0.0019,-0.0763,-0.119,0.1166
760.0,0.1812,0.2312,0.192,0.1938,0.1582,0.0547,-0.0444,-0.0815,0.1024
840.0,0.1649,0.1755,0.1395,0.1192,0.0843,-0.0415,-0.1396,-0.1351,0.0455
920.0,0.0668,0.0197,-0.0371,-0.0733,-0.1073,-0.2294,-0.3034,-0.2493,-0.0378
1000.0,-0.0045,-0.1099,-0.1847,-0.2256,-0.2535,-0.3633,-0.4148,-0.3279,-0.0782
1080.0,0.0915,0.0209,-0.0292,-0.0548,-0.0762,-0.1843,-0.2421,-0.1701,0.0425
1160.0,0.2016,0.1684,0.1545,0.1571,0.1444,0.0452,-0.0208,0.0372,0.2163
1240.0,0.2349,0.2204,0.2294,0.2608,0.2474,0.1748,0.1043,0.1625,0.3412
1320.0,0.2079,0.1844,0.1751,0.2065,0.1801,0.1447,0.0892,0.1538,0.3588
1400.0,0.1699,0.1505,0.1299,0.1566,0.1287,0.1168,0.0778,0.1464,0.3466
1480.0,0.0716,0.0296,-0.0083,0.0142,-0.0042,0.0111,0.0022,0.0952,0.3033
1560.0,-0.0504,-0.1435,-0.2066,-0.1865,-0.1886,-0.1408,-0.1088,0.0249,0.2559
1640.0,-0.0722,-0.2163,-0.2948,-0.2728,-0.2614,-0.1907,-0.1273,0.033,0.275
1720.0,0.1706,0.1114,0.0657,0.0913,0.0902,0.1369,0.168,0.2748,0.4283
1800.0,0.3759,0.403,0.3997,0.4311,0.4126,0.423,0.404,0.4405,0.5016
1880.0,0.2872,0.3722,0.3995,0.4316,0.4002,0.3804,0.3239,0.306,0.2998
1960.0,-0.255,-0.1483,-0.1073,-0.0877,-0.1193,-0.1585,-0.2227,-0.2665,-0.3036
