y,0,1,2,3,4,5,6,7,8
40.0,-5.4399,-4.3201,-4.164,-4.7673,-5.7393,-6.7648,-7.6659,-8.2082,-8.2007
120.0,-1.0138,0.0074,0.1063,-0.5118,-1.4517,-2.4465,-3.3998,-4.0403,-4.0758
200.0,1.2391,2.0304,2.0624,1.4966,0.6774,-0.2142,-1.1373,-1.7908,-1.8114
280.0,2.0018,2.5434,2.4926,1.9779,1.2786,0.4985,-0.3563,-0.9926,-0.9628
360.0,1.9396,2.2632,2.1472,1.6866,1.1126,0.4626,-0.3053,-0.9452,-0.8763
440.0,1.6286,1.8702,1.7668,1.409,1.0067,0.5505,-0.0482,-0.6449,-0.7193
520.0,1.2225,1.4152,1.3425,1.092,0.8548,0.5823,0.1383,-0.3538,-0.4702
600.0,0.8003,0.9488,0.8965,0.7364,0.6468,0.5517,0.2856,-0.0625,-0.1348
680.0,0.4155,0.5261,0.4839,0.3999,0.4455,0.5251,0.4617,0.2829,0.2926
760.0,0.0947,0.2109,0.2051,0.2077,0.3904,0.6489,0.831,0.8709,0.8934
840.0,-0.2371,-0.1398,-0.1168,-0.0305,0.2508,0.6457,1.0463,1.3255,1.4335
920.0,-0.5701,-0.5184,-0.4928,-0.3611,-0.006,0.5074,1.0925,1.5883,1.8385
1000.0,-0.8194,-0.8225,-0.8054,-0.6582,-0.2615,0.3303,1.0351,1.6691,2.075
1080.0,-0.8627,-0.8353,-0.7899,-0.6262,-0.2254,0.3851,1.1351,1.8284,2.2799
1160.0,-0.8636,-0.8244,-0.7569,-0.5757,-0.2015,0.3892,1.1522,1.8881,2.3677
1240.0,-0.9,-0.898,-0.829,-0.6234,-0.3142,0.2237,0.9748,1.7446,2.2742
1320.0,-0.9301,-1.0029,-0.9613,-0.7573,-0.5132,-0.042,0.6569,1.419,2.0034
1400.0,-0.7698,-0.821,-0.7906,-0.6182,-0.4578,-0.0961,0.4932,1.1711,1.7312
1480.0,-0.5763,-0.6262,-0.6157,-0.4847,-0.3985,-0.1334,0.3579,0.9603,1.4805
1560.0,-0.4057,-0.4952,-0.521,-0.4342,-0.4083,-0.2185,0.1969,0.7364,1.2033
1640.0,-0.1834,-0.3284,-0.3953,-0.3605,-0.3999,-0.2905,0.05,0.5099,0.8881
1720.0,0.2574,0.1884,0.1011,0.0454,-0.1242,-0.1753,0.0016,0.2981,0.5458
1800.0,0.5916,0.5925,0.4943,0.3592,0.0692,-0.1337,-0.1228,0.0137,0.1483
1880.0,0.5605,0.6041,0.499,0.3106,-0.0468,-0.3438,-0.4521,-0.4335,-0.3803
1960.0,0.0129,0.0694,-0.036,-0.252,-0.5967,-0.9041,-1.0672,-1.1128,-1.1043
