y,x,val
0.0000,0.0000,-8.7238
0.0000,222.2222,-7.4370
0.0000,444.4444,-6.5632
0.0000,666.6667,-6.0121
0.0000,888.8889,-5.6044
0.0000,1111.1111,-5.1766
0.0000,1333.3333,-4.7081
0.0000,1555.5556,-4.2080
0.0000,1777.7778,-3.8918
0.0000,2000.0000,-3.8918
80.0000,0.0000,-4.2035
80.0000,222.2222,-3.0088
80.0000,444.4444,-2.2374
80.0000,666.6667,-1.8063
80.0000,888.8889,-1.5273
80.0000,1111.1111,-1.2253
80.0000,1333.3333,-0.8751
80.0000,1555.5556,-0.3845
80.0000,1777.7778,0.0376
80.0000,2000.0000,0.0376
160.0000,0.0000,-1.7079
160.0000,222.2222,-0.7500
160.0000,444.4444,-0.1645
160.0000,666.6667,0.1136
160.0000,888.8889,0.2527
160.0000,1111.1111,0.4205
160.0000,1333.3333,0.6727
160.0000,1555.5556,1.1438
160.0000,1777.7778,1.7162
160.0000,2000.0000,1.7162
240.0000,0.0000,-0.6819
240.0000,222.2222,-0.0230
240.0000,444.4444,0.3508
240.0000,666.6667,0.4784
240.0000,888.8889,0.4837
240.0000,1111.1111,0.5253
240.0000,1333.3333,0.6864
240.0000,1555.5556,1.1508
240.0000,1777.7778,1.8641
240.0000,2000.0000,1.8641
320.0000,0.0000,-0.3958
320.0000,222.2222,-0.0266
320.0000,444.4444,0.1670
320.0000,666.6667,0.1555
320.0000,888.8889,0.0261
320.0000,1111.1111,-0.0745
320.0000,1333.3333,-0.0431
320.0000,1555.5556,0.3582
320.0000,1777.7778,1.1775
320.0000,2000.0000,1.1775
400.0000,0.0000,-0.1035
400.0000,222.2222,0.1859
400.0000,444.4444,0.2731
400.0000,666.6667,0.1297
400.0000,888.8889,-0.1631
400.0000,1111.1111,-0.4638
400.0000,1333.3333,-0.6602
400.0000,1555.5556,-0.4760
400.0000,1777.7778,0.3014
400.0000,2000.0000,0.3014
480.0000,0.0000,0.1984
480.0000,222.2222,0.4491
480.0000,444.4444,0.4739
480.0000,666.6667,0.2353
480.0000,888.8889,-0.1905
480.0000,1111.1111,-0.6639
480.0000,1333.3333,-1.0650
480.0000,1555.5556,-1.1184
480.0000,1777.7778,-0.4644
480.0000,2000.0000,-0.4644
560.0000,0.0000,0.4595
560.0000,222.2222,0.6815
560.0000,444.4444,0.6725
560.0000,666.6667,0.3841
560.0000,888.8889,-0.1171
560.0000,1111.1111,-0.7006
560.0000,1333.3333,-1.2456
560.0000,1555.5556,-1.4815
560.0000,1777.7778,-0.9855
560.0000,2000.0000,-0.9855
640.0000,0.0000,0.6410
640.0000,222.2222,0.8391
640.0000,444.4444,0.8157
640.0000,666.6667,0.5231
640.0000,888.8889,0.0142
640.0000,1111.1111,-0.6010
640.0000,1333.3333,-1.1934
640.0000,1555.5556,-1.5077
640.0000,1777.7778,-1.1630
640.0000,2000.0000,-1.1630
720.0000,0.0000,0.7369
720.0000,222.2222,0.9147
720.0000,444.4444,0.8724
720.0000,666.6667,0.6122
720.0000,888.8889,0.1590
720.0000,1111.1111,-0.4289
720.0000,1333.3333,-0.9969
720.0000,1555.5556,-1.3220
720.0000,1777.7778,-1.0929
720.0000,2000.0000,-1.0929
800.0000,0.0000,0.7442
800.0000,222.2222,0.8963
800.0000,444.4444,0.8361
800.0000,666.6667,0.6213
800.0000,888.8889,0.2506
800.0000,1111.1111,-0.2711
800.0000,1333.3333,-0.7873
800.0000,1555.5556,-1.0845
800.0000,1777.7778,-0.9203
800.0000,2000.0000,-0.9203
880.0000,0.0000,0.6794
880.0000,222.2222,0.8049
880.0000,444.4444,0.7464
880.0000,666.6667,0.5864
880.0000,888.8889,0.3083
880.0000,1111.1111,-0.1154
880.0000,1333.3333,-0.5467
880.0000,1555.5556,-0.8028
880.0000,1777.7778,-0.6919
880.0000,2000.0000,-0.6919
960.0000,0.0000,0.5782
960.0000,222.2222,0.6802
960.0000,444.4444,0.6340
960.0000,666.6667,0.5361
960.0000,888.8889,0.3598
960.0000,1111.1111,0.0590
960.0000,1333.3333,-0.2526
960.0000,1555.5556,-0.4338
960.0000,1777.7778,-0.3816
960.0000,2000.0000,-0.3816
1040.0000,0.0000,0.4871
1040.0000,222.2222,0.5771
1040.0000,444.4444,0.5445
1040.0000,666.6667,0.5063
1040.0000,888.8889,0.4361
1040.0000,1111.1111,0.2735
1040.0000,1333.3333,0.1027
1040.0000,1555.5556,0.0180
1040.0000,1777.7778,-0.0120
1040.0000,2000.0000,-0.0120
1120.0000,0.0000,0.4086
1120.0000,222.2222,0.4789
1120.0000,444.4444,0.4486
1120.0000,666.6667,0.4498
1120.0000,888.8889,0.4662
1120.0000,1111.1111,0.4230
1120.0000,1333.3333,0.3648
1120.0000,1555.5556,0.3451
1120.0000,1777.7778,0.2780
1120.0000,2000.0000,0.2780
1200.0000,0.0000,0.3428
1200.0000,222.2222,0.3792
1200.0000,444.4444,0.3370
1200.0000,666.6667,0.3493
1200.0000,888.8889,0.4231
1200.0000,1111.1111,0.4755
1200.0000,1333.3333,0.5014
1200.0000,1555.5556,0.5461
1200.0000,1777.7778,0.5163
1200.0000,2000.0000,0.5163
1280.0000,0.0000,0.2824
1280.0000,222.2222,0.2836
1280.0000,444.4444,0.2374
1280.0000,666.6667,0.2425
1280.0000,888.8889,0.3393
1280.0000,1111.1111,0.4621
1280.0000,1333.3333,0.5534
1280.0000,1555.5556,0.6436
1280.0000,1777.7778,0.6909
1280.0000,2000.0000,0.6909
1360.0000,0.0000,0.2621
1360.0000,222.2222,0.2567
1360.0000,444.4444,0.2111
1360.0000,666.6667,0.2188
1360.0000,888.8889,0.3434
1360.0000,1111.1111,0.5276
1360.0000,1333.3333,0.6896
1360.0000,1555.5556,0.8366
1360.0000,1777.7778,0.8866
1360.0000,2000.0000,0.8866
1440.0000,0.0000,0.2526
1440.0000,222.2222,0.2447
1440.0000,444.4444,0.1951
1440.0000,666.6667,0.2014
1440.0000,888.8889,0.3400
1440.0000,1111.1111,0.5587
1440.0000,1333.3333,0.7619
1440.0000,1555.5556,0.9283
1440.0000,1777.7778,0.9705
1440.0000,2000.0000,0.9705
1520.0000,0.0000,0.2252
1520.0000,222.2222,0.2134
1520.0000,444.4444,0.1537
1520.0000,666.6667,0.1490
1520.0000,888.8889,0.2828
1520.0000,1111.1111,0.5073
1520.0000,1333.3333,0.7246
1520.0000,1555.5556,0.8856
1520.0000,1777.7778,0.9563
1520.0000,2000.0000,0.9563
1600.0000,0.0000,0.1557
1600.0000,222.2222,0.1437
1600.0000,444.4444,0.0781
1600.0000,666.6667,0.0645
1600.0000,888.8889,0.1867
