y,0,1,2,3,4,5,6,7,8
40.0,1540.903,1541.2868,1540.6213,1539.3281,1537.7691,1536.0475,1534.1952,1532.4944,1531.3867
120.0,1539.2211,1539.4093,1538.6204,1537.425,1536.0855,1534.6087,1532.9002,1531.2203,1530.0835
200.0,1535.2185,1535.0782,1534.2201,1533.242,1532.1956,1531.0759,1529.7063,1528.2618,1527.2939
280.0,1530.038,1529.5599,1528.6272,1527.8194,1527.0475,1526.2574,1525.2653,1524.1412,1523.4451
360.0,1524.7837,1524.0203,1523.0242,1522.3281,1521.7603,1521.2202,1520.5074,1519.6485,1519.2036
440.0,1520.3758,1519.6312,1518.6648,1518.0408,1517.5721,1517.1343,1516.5173,1515.7442,1515.3217
520.0,1516.6773,1516.0043,1515.1032,1514.5391,1514.1178,1513.7056,1513.0972,1512.3536,1511.9273
600.0,1513.5001,1512.8926,1512.0677,1511.5642,1511.1783,1510.775,1510.1726,1509.4499,1509.0246
680.0,1510.6901,1510.1247,1509.3934,1508.962,1508.62,1508.2293,1507.6575,1506.9848,1506.574
760.0,1508.1445,1507.5919,1507.0015,1506.6515,1506.3691,1505.9893,1505.4822,1504.9191,1504.5289
840.0,1505.8625,1505.3284,1504.8612,1504.5435,1504.2925,1503.9314,1503.5113,1503.1042,1502.799
920.0,1503.881,1503.3433,1502.9386,1502.6574,1502.4432,1502.1337,1501.8201,1501.5706,1501.3937
1000.0,1502.2911,1501.7427,1501.386,1501.1512,1500.9834,1500.7368,1500.5189,1500.3917,1500.3505
1080.0,1501.2141,1500.7629,1500.5016,1500.3355,1500.2086,1500.0044,1499.842,1499.7764,1499.774
1160.0,1500.4349,1500.0907,1499.941,1499.8589,1499.7646,1499.5971,1499.4837,1499.4781,1499.5054
1240.0,1499.8317,1499.5871,1499.5288,1499.5265,1499.4326,1499.2997,1499.2346,1499.2971,1499.382
1320.0,1499.4542,1499.2709,1499.213,1499.2289,1499.1173,1499.027,1499.0125,1499.1307,1499.2939
1400.0,1499.3007,1499.1628,1499.1057,1499.1202,1498.9984,1498.929,1498.9481,1499.102,1499.2975
1480.0,1499.2683,1499.1235,1499.0517,1499.057,1498.9342,1498.886,1498.9428,1499.1431,1499.3758
1560.0,1499.3793,1499.1818,1499.079,1499.072,1498.9531,1498.9283,1499.0255,1499.2793,1499.5559
1640.0,1499.7782,1499.5231,1499.3982,1499.3821,1499.2613,1499.2449,1499.3647,1499.6399,1499.9305
1720.0,1500.6668,1500.5268,1500.4403,1500.4176,1500.2624,1500.1912,1500.2433,1500.4265,1500.6031
1800.0,1501.6467,1501.6218,1501.5853,1501.5612,1501.3729,1501.2391,1501.2035,1501.2759,1501.3353
1880.0,1502.3803,1502.4322,1502.4301,1502.402,1502.2016,1502.0293,1501.9298,1501.9165,1501.8902
1960.0,1502.6557,1502.7359,1502.7449,1502.6982,1502.5248,1502.3532,1502.2328,1502.1729,1502.1045
