y,0,1,2,3,4,5,6,7,8
25.862068965517242,0.3461,0.028,-0.3324,-0.668,-1.3168,-1.7588,-1.4285,-1.9058,-2.242
77.58620689655173,0.2862,-0.0468,0.1929,-0.6998,-1.3769,-1.845,-1.3876,-1.9077,-2.2911
129.31034482758622,0.9604,0.4708,-0.0488,0.1223,-0.7694,-1.387,-0.4722,-1.2381,-1.7949
181.0344827586207,1.1393,0.4449,-0.1848,0.5763,-0.6295,-1.4452,0.2583,-0.8962,-1.6908
232.75862068965517,1.0636,0.4532,-0.0694,0.814,-0.424,-1.2305,0.7776,-0.4826,-1.2919
284.48275862068965,1.0228,0.6096,0.2664,0.6747,-0.3952,-1.0567,0.43,-0.6521,-1.2631
336.2068965517241,1.7228,1.4154,1.1552,1.2401,0.237,-0.401,0.6394,-0.3995,-0.9894
387.9310344827586,2.0006,1.6772,1.412,1.5511,0.5027,-0.2003,0.6834,-0.3931,-1.0341
439.65517241379314,1.6462,1.4802,1.2591,1.3025,0.322,-0.4029,0.3399,-0.7118,-1.3836
491.3793103448276,0.9128,0.835,0.668,0.6765,-0.2118,-0.9228,-0.3316,-1.2542,-1.8791
543.1034482758621,-0.4862,-0.5775,-0.7312,-0.5028,-1.4163,-2.1439,-1.3783,-2.4158,-3.1289
594.8275862068965,0.5256,0.3882,0.1308,0.8697,0.0373,-0.7725,0.7448,-0.4052,-1.2752
646.551724137931,1.2852,0.9742,0.578,1.6563,0.7105,-0.1878,1.4243,0.2783,-0.6041
698.2758620689656,1.559,0.9175,0.2499,2.1916,0.9299,-0.2433,2.2594,0.7843,-0.3534
750.0,1.2617,0.5215,-0.2432,2.2587,0.9011,-0.3888,2.733,1.1222,-0.1321
801.7241379310345,0.7722,-0.1081,-0.9712,2.2176,0.7233,-0.6952,3.2357,1.3718,-0.1376
853.448275862069,0.2693,-0.7185,-1.6575,2.1435,0.5609,-0.9532,3.748,1.6967,-0.0188
905.1724137931035,-0.6662,-1.8986,-2.9982,1.3705,-0.3923,-2.0373,3.3207,1.0814,-0.7718
956.8965517241379,-1.3461,-2.7782,-4.0069,0.6697,-1.2129,-2.9264,2.8123,0.4968,-1.368
1008.6206896551724,0.7771,-0.7668,-2.0323,2.2393,0.447,-1.1255,4.0058,2.001,0.4868
1060.344827586207,2.4002,1.1384,0.0789,2.946,1.5632,0.3496,3.8598,2.385,1.338
1112.0689655172414,1.3214,0.2766,-0.551,1.0792,0.0731,-0.7429,1.2914,0.3779,-0.1464
1163.7931034482758,0.5474,-0.1015,-0.5334,0.3022,-0.1893,-0.5127,0.5998,0.3118,0.3213
1215.5172413793105,0.908,0.4042,0.11,0.7542,0.4586,0.3047,1.1623,1.0805,1.2491
1267.2413793103449,0.1987,-0.0776,-0.1706,0.3525,0.2856,0.3183,0.97,1.0048,1.1607
1318.9655172413793,-0.2097,-0.3497,-0.3123,0.3053,0.3535,0.4696,1.0924,1.0921,1.1172
1370.6896551724137,-0.9394,-0.9212,-0.7391,-0.1642,0.0233,0.2422,0.716,0.7387,0.7029
1422.4137931034484,-2.0796,-2.019,-1.7944,-1.1957,-0.9995,-0.7754,-0.2727,-0.3612,-0.5066
1474.1379310344828,-4.041,-3.8634,-3.5457,-3.2705,-2.952,-2.6405,-2.4573,-2.445,-2.5205
