y,x,val
0.0000,0.0000,1520.2824
0.0000,222.2222,1520.3132
0.0000,444.4444,1520.4049
0.0000,666.6667,1520.5595
0.0000,888.8889,1520.7575
0.0000,1111.1111,1520.9968
0.0000,1333.3333,1521.2440
0.0000,1555.5556,1521.4584
0.0000,1777.7778,1521.5650
0.0000,2000.0000,1521.5650
51.7241,0.0000,1520.2668
51.7241,222.2222,1520.3092
51.7241,444.4444,1520.4098
51.7241,666.6667,1520.5844
51.7241,888.8889,1520.7855
51.7241,1111.1111,1521.0281
51.7241,1333.3333,1521.2762
51.7241,1555.5556,1521.4974
51.7241,1777.7778,1521.6024
51.7241,2000.0000,1521.6024
103.4483,0.0000,1520.1738
103.4483,222.2222,1520.2217
103.4483,444.4444,1520.3312
103.4483,666.6667,1520.5151
103.4483,888.8889,1520.7137
103.4483,1111.1111,1520.9583
103.4483,1333.3333,1521.2051
103.4483,1555.5556,1521.4293
103.4483,1777.7778,1521.5336
103.4483,2000.0000,1521.5336
155.1724,0.0000,1519.9682
155.1724,222.2222,1520.0077
155.1724,444.4444,1520.1121
155.1724,666.6667,1520.2929
155.1724,888.8889,1520.4865
155.1724,1111.1111,1520.7313
155.1724,1333.3333,1520.9822
155.1724,1555.5556,1521.2174
155.1724,1777.7778,1521.3348
155.1724,2000.0000,1521.3348
206.8966,0.0000,1519.6604
206.8966,222.2222,1519.6768
206.8966,444.4444,1519.7649
206.8966,666.6667,1519.9351
206.8966,888.8889,1520.1215
206.8966,1111.1111,1520.3668
206.8966,1333.3333,1520.6272
206.8966,1555.5556,1520.8825
206.8966,1777.7778,1521.0286
206.8966,2000.0000,1521.0286
258.6207,0.0000,1519.3020
258.6207,222.2222,1519.2942
258.6207,444.4444,1519.3693
258.6207,666.6667,1519.5330
258.6207,888.8889,1519.7142
258.6207,1111.1111,1519.9617
258.6207,1333.3333,1520.2312
258.6207,1555.5556,1520.5053
258.6207,1777.7778,1520.6824
258.6207,2000.0000,1520.6824
310.3448,0.0000,1518.9609
310.3448,222.2222,1518.9866
310.3448,444.4444,1519.0808
310.3448,666.6667,1519.2589
310.3448,888.8889,1519.4479
310.3448,1111.1111,1519.7008
310.3448,1333.3333,1519.9710
310.3448,1555.5556,1520.2367
310.3448,1777.7778,1520.3835
310.3448,2000.0000,1520.3835
362.0690,0.0000,1518.5209
362.0690,222.2222,1518.5790
362.0690,444.4444,1518.6972
362.0690,666.6667,1518.8946
362.0690,888.8889,1519.0973
362.0690,1111.1111,1519.3599
362.0690,1333.3333,1519.6340
362.0690,1555.5556,1519.8933
362.0690,1777.7778,1520.0146
362.0690,2000.0000,1520.0146
413.7931,0.0000,1517.8924
413.7931,222.2222,1517.9684
413.7931,444.4444,1518.1054
413.7931,666.6667,1518.3214
413.7931,888.8889,1518.5400
413.7931,1111.1111,1518.8170
413.7931,1333.3333,1519.1029
413.7931,1555.5556,1519.3688
413.7931,1777.7778,1519.4840
413.7931,2000.0000,1519.4840
465.5172,0.0000,1517.0310
465.5172,222.2222,1517.1191
465.5172,444.4444,1517.2768
465.5172,666.6667,1517.5152
465.5172,888.8889,1517.7521
465.5172,1111.1111,1518.0466
465.5172,1333.3333,1518.3473
465.5172,1555.5556,1518.6249
465.5172,1777.7778,1518.7445
465.5172,2000.0000,1518.7445
517.2414,0.0000,1515.9217
517.2414,222.2222,1516.0698
517.2414,444.4444,1516.2729
517.2414,666.6667,1516.5495
517.2414,888.8889,1516.8139
517.2414,1111.1111,1517.1268
517.2414,1333.3333,1517.4338
517.2414,1555.5556,1517.6993
517.2414,1777.7778,1517.7719
517.2414,2000.0000,1517.7719
568.9655,0.0000,1514.3932
568.9655,222.2222,1514.5908
568.9655,444.4444,1514.8356
568.9655,666.6667,1515.1473
568.9655,888.8889,1515.4385
568.9655,1111.1111,1515.7695
568.9655,1333.3333,1516.0826
568.9655,1555.5556,1516.3368
568.9655,1777.7778,1516.3713
568.9655,2000.0000,1516.3713
620.6897,0.0000,1512.3229
620.6897,222.2222,1512.5433
620.6897,444.4444,1512.8108
620.6897,666.6667,1513.1448
620.6897,888.8889,1513.4566
620.6897,1111.1111,1513.8052
620.6897,1333.3333,1514.1304
620.6897,1555.5556,1514.3876
620.6897,1777.7778,1514.4104
620.6897,2000.0000,1514.4104
672.4138,0.0000,1509.6624
672.4138,222.2222,1509.8745
672.4138,444.4444,1510.1416
672.4138,666.6667,1510.4826
672.4138,888.8889,1510.8070
672.4138,1111.1111,1511.1735
672.4138,1333.3333,1511.5199
672.4138,1555.5556,1511.7990
672.4138,1777.7778,1511.8414
672.4138,2000.0000,1511.8414
724.1379,0.0000,1506.4434
724.1379,222.2222,1506.6187
724.1379,444.4444,1506.8655
724.1379,666.6667,1507.2013
724.1379,888.8889,1507.5329
724.1379,1111.1111,1507.9199
724.1379,1333.3333,1508.2969
724.1379,1555.5556,1508.6153
724.1379,1777.7778,1508.7047
724.1379,2000.0000,1508.7047
775.8621,0.0000,1502.7713
775.8621,222.2222,1502.8960
775.8621,444.4444,1503.1123
775.8621,666.6667,1503.4402
775.8621,888.8889,1503.7821
775.8621,1111.1111,1504.1962
775.8621,1333.3333,1504.6130
775.8621,1555.5556,1504.9797
775.8621,1777.7778,1505.1197
775.8621,2000.0000,1505.1197
827.5862,0.0000,1498.7824
827.5862,222.2222,1498.8273
827.5862,444.4444,1498.9921
827.5862,666.6667,1499.2983
827.5862,888.8889,1499.6455
827.5862,1111.1111,1500.0884
827.5862,1333.3333,1500.5536
827.5862,1555.5556,1500.9841
827.5862,1777.7778,1501.1999
827.5862,2000.0000,1501.1999
879.3103,0.0000,1494.6926
879.3103,222.2222,1494.6253
879.3103,444.4444,1494.7145
879.3103,666.6667,1494.9824
879.3103,888.8889,1495.3252
879.3103,1111.1111,1495.7937
879.3103,1333.3333,1496.3113
879.3103,1555.5556,1496.8188
879.3103,1777.7778,1497.1361
879.3103,2000.0000,1497.1361
931.0345,0.0000,1490.7984
931.0345,222.2222,1490.5931
931.0345,444.4444,1490.5903
931.0345,666.6667,1490.8066
931.0345,888.8889,1491.1326
931.0345,1111.1111,1491.6153
931.0345,1333.3333,1492.1777
931.0345,1555.5556,1492.7617
931.0345,1777.7778,1493.1946
931.0345,2000.0000,1493.1946
982.7586,0.0000,1487.4622
982.7586,222.2222,1487.1263
982.7586,444.4444,1487.0403
982.7586,666.6667,1487.2020
982.7586,888.8889,1487.4949
982.7586,1111.1111,1487.9659
982.7586,1333.3333,1488.5419
982.7586,1555.5556,1489.1698
982.7586,1777.7778,1489.6977
982.7586,2000.0000,1489.6977
1034.4828,0.0000,1485.0564
1034.4828,222.2222,1484.7398
1034.4828,444.4444,1484.6266
1034.4828,666.6667,1484.7395
1034.4828,888.8889,1484.9737
1034.4828,1111.1111,1485.3825
1034.4828,1333.3333,1485.9018
1034.4828,1555.5556,1486.4815
1034.4828,1777.7778,1486.9730
1034.4828,2000.0000,1486.9730
1086.2069,0.0000,1483.4417
1086.2069,222.2222,1483.1541
1086.2069,444.4444,1483.0282
1086.2069,666.6667,1483.0961
1086.2069,888.8889,1483.2629
1086.2069,1111.1111,1483.5909
1086.2069,1333.3333,1484.0265
1086.2069,1555.5556,1484.5300
1086.2069,1777.7778,1484.9671
1086.2069,2000.0000,1484.9671
1137.9310,0.0000,1482.4956
1137.9310,222.2222,1482.2201
1137.9310,444.4444,1482.0786
1137.9310,666.6667,1482.1026
1137.9310,888.8889,1482.2011
1137.9310,1111.1111,1482.4443
1137.9310,1333.3333,1482.7909
1137.9310,1555.5556,1483.2157
1137.9310,1777.7778,1483.6048
1137.9310,2000.0000,1483.6048
1189.6552,0.0000,1482.1534
1189.6552,222.2222,1481.8856
1189.6552,444.4444,1481.7338
1189.6552,666.6667,1481.7192
1189.6552,888.8889,1481.7513
1189.6552,1111.1111,1481.9081
1189.6552,1333.3333,1482.1614
1189.6552,1555.5556,1482.5005
1189.6552,1777.7778,1482.8390
1189.6552,2000.0000,1482.8390
1241.3793,0.0000,1482.3874
1241.3793,222.2222,1482.2045
1241.3793,444.4444,1482.0747
1241.3793,666.6667,1482.0327
1241.3793,888.8889,1481.9983
1241.3793,1111.1111,1482.0585
1241.3793,1333.3333,1482.1990
1241.3793,1555.5556,1482.4197
1241.3793,1777.7778,1482.6454
1241.3793,2000.0000,1482.6454
1293.1034,0.0000,1482.9086
1293.1034,222.2222,1482.8085
1293.1034,444.4444,1482.7092
1293.1034,666.6667,1482.6505
1293.1034,888.8889,1482.5608
1293.1034,1111.1111,1482.5355
1293.1034,1333.3333,1482.5713
1293.1034,1555.5556,1482.6796
1293.1034,1777.7778,1482.7986
1293.1034,2000.0000,1482.7986
1344.8276,0.0000,1483.4648
1344.8276,222.2222,1483.4283
1344.8276,444.4444,1483.3555
1344.8276,666.6667,1483.2871
1344.8276,888.8889,1483.1592
1344.8276,1111.1111,1483.0709
1344.8276,1333.3333,1483.0269
1344.8276,1555.5556,1483.0474
1344.8276,1777.7778,1483.0835
1344.8276,2000.0000,1483.0835
1396.5517,0.0000,1483.8701
1396.5517,222.2222,1483.8746
1396.5517,444.4444,1483.8202
1396.5517,666.6667,1483.7461
1396.5517,888.8889,1483.6010
1396.5517,1111.1111,1483.4778
1396.5517,1333.3333,1483.3864
1396.5517,1555.5556,1483.3504
1396.5517,1777.7778,1483.3320
1396.5517,2000.0000,1483.3320
1448.2759,0.0000,1484.0124
1448.2759,222.2222,1484.0339
1448.2759,444.4444,1483.9902
1448.2759,666.6667,1483.9099
1448.2759,888.8889,1483.7741
1448.2759,1111.1111,1483.6450
1448.2759,1333.3333,1483.5415
1448.2759,1555.5556,1483.4806
1448.2759,1777.7778,1483.4370
1448.2759,2000.0000,1483.4370
1500.0000,0.0000,1484.0124
1500.0000,222.2222,1484.0339
1500.0000,444.4444,1483.9902
1500.0000,666.6667,1483.9099
1500.0000,888.8889,1483.7741
1500.0000,1111.1111,1483.6450
1500.0000,1333.3333,1483.5415
1500.0000,1555.5556,1483.4806
1500.0000,1777.7778,1483.4370
1500.0000,2000.0000,1483.4370
