y,x,val
0.0000,0.0000,1520.8114
0.0000,222.2222,1520.8832
0.0000,444.4444,1521.0955
0.0000,666.6667,1521.4082
0.0000,888.8889,1521.7495
0.0000,1111.1111,1522.0551
0.0000,1333.3333,1522.2632
0.0000,1555.5556,1522.2964
0.0000,1777.7778,1522.1748
0.0000,2000.0000,1522.1748
51.7241,0.0000,1520.8016
51.7241,222.2222,1520.8790
51.7241,444.4444,1521.0784
51.7241,666.6667,1521.3555
51.7241,888.8889,1521.6406
51.7241,1111.1111,1521.8835
51.7241,1333.3333,1522.0389
51.7241,1555.5556,1522.0392
51.7241,1777.7778,1521.9172
51.7241,2000.0000,1521.9172
103.4483,0.0000,1520.8012
103.4483,222.2222,1520.8747
103.4483,444.4444,1521.0259
103.4483,666.6667,1521.2140
103.4483,888.8889,1521.3813
103.4483,1111.1111,1521.4979
103.4483,1333.3333,1521.5456
103.4483,1555.5556,1521.4938
103.4483,1777.7778,1521.3926
103.4483,2000.0000,1521.3926
155.1724,0.0000,1520.7650
155.1724,222.2222,1520.8255
155.1724,444.4444,1520.9152
155.1724,666.6667,1521.0000
155.1724,888.8889,1521.0377
155.1724,1111.1111,1521.0199
155.1724,1333.3333,1520.9561
155.1724,1555.5556,1520.8474
155.1724,1777.7778,1520.7566
155.1724,2000.0000,1520.7566
206.8966,0.0000,1520.6632
206.8966,222.2222,1520.7103
206.8966,444.4444,1520.7417
206.8966,666.6667,1520.7327
206.8966,888.8889,1520.6574
206.8966,1111.1111,1520.5244
206.8966,1333.3333,1520.3646
206.8966,1555.5556,1520.2052
206.8966,1777.7778,1520.1167
206.8966,2000.0000,1520.1167
258.6207,0.0000,1520.4674
258.6207,222.2222,1520.5088
258.6207,444.4444,1520.4970
258.6207,666.6667,1520.4185
258.6207,888.8889,1520.2650
258.6207,1111.1111,1520.0522
258.6207,1333.3333,1519.8214
258.6207,1555.5556,1519.6241
258.6207,1777.7778,1519.5338
258.6207,2000.0000,1519.5338
310.3448,0.0000,1520.1393
310.3448,222.2222,1520.1835
310.3448,444.4444,1520.1545
310.3448,666.6667,1520.0447
310.3448,888.8889,1519.8604
310.3448,1111.1111,1519.6193
310.3448,1333.3333,1519.3568
310.3448,1555.5556,1519.1349
310.3448,1777.7778,1519.0242
310.3448,2000.0000,1519.0242
362.0690,0.0000,1519.6453
362.0690,222.2222,1519.7061
362.0690,444.4444,1519.6815
362.0690,666.6667,1519.5694
362.0690,888.8889,1519.3841
362.0690,1111.1111,1519.1428
362.0690,1333.3333,1518.8752
362.0690,1555.5556,1518.6443
362.0690,1777.7778,1518.5145
362.0690,2000.0000,1518.5145
413.7931,0.0000,1518.9283
413.7931,222.2222,1519.0187
413.7931,444.4444,1519.0160
413.7931,666.6667,1518.9244
413.7931,888.8889,1518.7630
413.7931,1111.1111,1518.5455
413.7931,1333.3333,1518.2950
413.7931,1555.5556,1518.0725
413.7931,1777.7778,1517.9324
413.7931,2000.0000,1517.9324
465.5172,0.0000,1517.9085
465.5172,222.2222,1518.0364
465.5172,444.4444,1518.0699
465.5172,666.6667,1518.0214
465.5172,888.8889,1517.9132
465.5172,1111.1111,1517.7500
465.5172,1333.3333,1517.5419
465.5172,1555.5556,1517.3488
465.5172,1777.7778,1517.2101
465.5172,2000.0000,1517.2101
517.2414,0.0000,1516.4892
517.2414,222.2222,1516.6404
517.2414,444.4444,1516.7252
517.2414,666.6667,1516.7520
