x y
-4.55 16.00
-4.30 16.01
-4.04 16.00
-3.78 16.00
-3.52 16.00
-3.26 16.01
-3.01 16.02
-2.75 16.02
-2.49 16.01
-2.23 16.00
-1.98 16.00
-1.72 16.00
-1.46 16.01
-1.20 16.01
-0.95 16.02
-0.69 16.04
-0.43 16.02
-0.17 16.05
0.08 16.04
0.34 16.40
0.60 16.25
0.86 16.00
0.60 15.75
0.34 15.60
0.08 15.96
-0.17 15.95
-0.43 15.98
-0.69 15.96
-0.95 15.98
-1.20 15.99
-1.46 15.99
-1.72 16.00
-1.98 16.00
-2.23 16.00
-2.49 15.99
-2.75 15.98
-3.01 15.98
-3.26 15.99
-3.52 16.00
-3.78 16.00
-4.04 16.00
-4.30 15.99
-4.55 16.00
