x y
1.20 22.00
2.75 22.07
4.30 22.15
5.85 22.22
7.40 22.14
8.95 22.15
10.50 22.18
12.04 22.14
13.59 22.13
15.14 22.28
16.69 22.11
18.24 22.08
19.79 22.23
21.34 22.40
22.89 22.16
24.44 22.28
25.99 22.38
27.54 22.20
29.09 22.19
30.64 22.09
32.19 22.13
33.74 22.00
32.19 21.87
30.64 21.91
29.09 21.81
27.54 21.80
25.99 21.62
24.44 21.72
22.89 21.84
21.34 21.60
19.79 21.77
18.24 21.92
16.69 21.89
15.14 21.72
13.59 21.87
12.04 21.86
10.50 21.82
8.95 21.85
7.40 21.86
5.85 21.78
4.30 21.85
2.75 21.93
1.20 22.00
